team_id,area,name,game_count,win_count,win_pct,started_count,minutes_played,field_goals,field_goal_attempts,field_goal_pct,three_point_field_goals,three_point_field_goal_attempts,three_point_field_goal_pct,free_throws,free_throw_attempts,free_throw_pct,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,game_score,plus_minus,daily_fantasy_sports_points,uri,is_pow
IND,E,George Hill,3,1,0.3333333333333333,3,37.61666666666667,7.666666666666667,16.0,0.4791666666666667,3.0,6.333333333333333,0.4736842105263158,0.3333333333333333,0.6666666666666666,0.5,0.3333333333333333,2.6666666666666665,3.0,5.666666666666667,2.3333333333333335,0.0,1.3333333333333333,2.3333333333333335,18.666666666666668,15.466666666666667,6.0,,/players/h/hillge01.html,0
NYK,E,Iman Shumpert,4,0,0.0,4,24.145833333333332,4.0,8.5,0.47058823529411764,1.5,3.25,0.46153846153846156,0.25,1.0,0.25,0.25,1.25,1.5,0.75,0.5,0.0,1.25,2.25,9.75,4.5249999999999995,-15.75,,/players/s/shumpim01.html,0
CHA,E,Gerald Henderson,3,1,0.3333333333333333,3,38.294444444444444,8.333333333333334,16.0,0.5208333333333334,0.6666666666666666,1.3333333333333333,0.5,7.0,7.333333333333333,0.9545454545454546,1.3333333333333333,2.0,3.3333333333333335,3.0,1.3333333333333333,0.6666666666666666,2.3333333333333335,2.0,24.333333333333332,18.633333333333333,1.6666666666666667,,/players/h/hendege02.html,0
PHI,E,Jason Richardson,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,/players/r/richaja01.html,0
PHO,W,Shannon Brown,1,0,0.0,0,7.116666666666666,1.0,3.0,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,-4.0,,/players/b/brownsh01.html,0
MIA,E,Mario Chalmers,4,4,1.0,4,27.70416666666667,2.5,7.0,0.35714285714285715,1.25,4.75,0.2631578947368421,1.0,1.0,1.0,0.25,2.25,2.5,4.75,1.5,0.25,1.5,2.0,7.25,6.8999999999999995,11.25,,/players/c/chalmma01.html,0
SAC,W,Tyreke Evans,2,1,0.5,2,39.141666666666666,8.5,16.0,0.53125,1.0,4.5,0.2222222222222222,1.5,2.0,0.75,0.5,4.5,5.0,7.0,3.0,1.0,1.5,2.5,19.5,19.3,13.0,,/players/e/evansty01.html,0
PHI,E,Lavoy Allen,3,2,0.6666666666666666,0,15.25,1.6666666666666667,3.3333333333333335,0.5,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.5,0.6666666666666666,2.0,2.6666666666666665,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,2.0,3.6666666666666665,2.5,0.6666666666666666,,/players/a/allenla01.html,0
UTA,W,Alec Burks,3,2,0.6666666666666666,0,13.894444444444444,1.6666666666666667,5.666666666666667,0.29411764705882354,1.0,2.0,0.5,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,1.3333333333333333,1.6666666666666667,0.3333333333333333,0.0,1.3333333333333333,1.0,5.0,2.1333333333333333,-4.666666666666667,,/players/b/burksal01.html,0
UTA,W,Earl Watson,2,1,0.5,0,15.758333333333333,1.5,3.0,0.5,0.0,0.5,0.0,2.5,3.0,0.8333333333333334,0.5,1.0,1.5,3.5,0.5,0.0,1.0,1.5,5.5,5.8,2.5,,/players/w/watsoea01.html,0
MIN,W,Malcolm Lee,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,/players/l/leema01.html,0
MIN,W,Greg Stiemsma,4,2,0.5,3,26.433333333333334,3.75,6.5,0.5769230769230769,0.0,0.0,0.0,1.5,1.75,0.8571428571428571,1.5,4.25,5.75,0.25,0.75,1.75,1.25,4.25,9.0,7.374999999999999,-4.25,,/players/s/stiemgr01.html,0
MIA,E,Udonis Haslem,4,4,1.0,4,20.07916666666667,1.5,2.75,0.5454545454545454,0.0,0.0,0.0,0.25,0.5,0.5,1.25,4.25,5.5,1.0,0.0,0.0,0.0,1.75,3.25,3.975,6.0,,/players/h/hasleud01.html,0
DET,E,Jason Maxiell,2,0,0.0,2,34.56666666666666,4.0,6.5,0.6153846153846154,0.0,0.0,0.0,1.0,2.0,0.5,4.0,5.5,9.5,3.0,1.0,0.5,2.0,4.0,9.0,9.95,-10.5,,/players/m/maxieja01.html,0
POR,W,Sasha Pavlovic,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,/players/p/pavloal01.html,0
CHA,E,Josh McRoberts,3,1,0.3333333333333333,3,36.26111111111111,4.333333333333333,8.0,0.5416666666666666,0.3333333333333333,2.0,0.16666666666666666,1.6666666666666667,2.0,0.8333333333333334,2.0,7.666666666666667,9.666666666666666,2.6666666666666665,2.0,1.3333333333333333,1.0,3.3333333333333335,10.666666666666666,12.833333333333334,2.0,,/players/m/mcrobjo01.html,0
BRK,E,Tornike Shengelia,1,0,0.0,0,1.0166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,,/players/s/shengto01.html,0
IND,E,Ian Mahinmi,3,1,0.3333333333333333,0,13.216666666666667,1.6666666666666667,3.6666666666666665,0.4545454545454546,0.0,0.0,0.0,0.3333333333333333,1.3333333333333333,0.25,1.3333333333333333,1.3333333333333333,2.6666666666666665,0.0,0.6666666666666666,1.0,0.3333333333333333,2.0,3.6666666666666665,2.9333333333333336,-9.333333333333334,,/players/m/mahinia01.html,0
