team_id,area,name,game_count,win_count,win_pct,his_win_pct,opp_win_pct,started_count,minutes_played,field_goals,field_goal_attempts,field_goal_pct,three_point_field_goals,three_point_field_goal_attempts,three_point_field_goal_pct,free_throws,free_throw_attempts,free_throw_pct,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,game_score,plus_minus,daily_fantasy_sports_points,uri,is_pow
DEN,W,Randy Foye,4,1,0.25,0.3902439024390244,0.601062177565,0,16.2666666667,1.5,5.75,0.22875,0.5,1.75,0.16675,0.75,1.25,0.29175,0.5,1.75,2.25,1.0,0.25,0.25,1.25,2.25,4.25,0.475,-6.5,9.2,/players/f/foyera01.html,0
MIA,E,Gerald Green,4,1,0.25,0.5609756097560976,0.531937748157,1,22.875,2.0,9.75,0.18325,0.5,3.5,0.1,0.25,0.25,0.25,0.25,1.5,1.75,1.25,0.0,0.0,1.25,1.25,4.75,-1.525,-3.5,8.475,/players/g/greenge01.html,0
WAS,E,Bradley Beal,2,1,0.5,0.475,0.542392566783,0,17.2833333333,4.5,9.5,0.4355,0.5,3.0,0.1665,1.5,2.0,0.375,1.5,0.5,2.0,1.5,1.0,0.0,1.5,2.0,11.0,6.9,6.0,17.3,/players/b/bealbr01.html,0
LAL,W,Robert Sacre,2,0,0.0,0.20930232558139536,0.428409090909,0,2.54166666667,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.15,1.5,2.3,/players/s/sacrero01.html,0
WAS,E,Nene Hilario,2,1,0.5,0.475,0.542392566783,2,24.9083333333,5.5,12.0,0.433,0.0,0.0,0.0,1.0,3.0,0.1665,1.5,4.0,5.5,1.5,3.5,0.0,2.0,2.0,12.0,9.0,2.5,27.15,/players/h/hilarne01.html,0
MIL,E,Greg Monroe,3,1,0.3333333333333333,0.4186046511627907,0.465867838911,3,29.8222222222,8.0,14.3333333333,0.555,0.0,0.0,0.0,3.33333333333,4.0,0.777666666667,2.33333333333,7.66666666667,10.0,2.0,0.0,2.0,1.66666666667,2.33333333333,19.3333333333,16.3666666667,0.333333333333,39.0333333333,/players/m/monrogr01.html,0
LAL,W,Roy Hibbert,3,0,0.0,0.20930232558139536,0.57132034632,3,20.6722222222,3.66666666667,6.0,0.635333333333,0.0,0.0,0.0,1.0,1.0,0.333333333333,1.0,2.33333333333,3.33333333333,0.666666666667,1.33333333333,1.0,1.0,3.33333333333,8.33333333333,7.16666666667,-14.0,17.7,/players/h/hibbero01.html,0
CHO,E,Brian Roberts,4,3,0.75,0.4634146341463415,0.531914451827,0,14.4875,2.25,3.75,0.575,0.75,1.25,0.5,2.5,2.5,1.0,0.0,0.75,0.75,1.5,0.0,0.0,0.75,1.0,7.75,6.15,5.25,10.95,/players/r/roberbr01.html,0
POR,W,Noah Vonleh,2,1,0.5,0.4318181818181818,0.40227021041,2,19.825,4.0,5.0,0.7915,0.5,1.5,0.25,0.5,1.0,0.25,1.5,3.5,5.0,0.5,1.5,0.5,0.5,3.5,9.0,9.3,11.5,20.0,/players/v/vonleno01.html,0
MEM,W,Vince Carter,3,2,0.6666666666666666,0.5581395348837209,0.399922570654,0,9.48888888889,0.666666666667,3.0,0.133333333333,0.666666666667,1.66666666667,0.222333333333,0.666666666667,0.666666666667,0.333333333333,0.0,0.666666666667,0.666666666667,0.333333333333,0.333333333333,0.333333333333,0.0,0.666666666667,2.66666666667,1.56666666667,-6.0,5.7,/players/c/cartevi01.html,0
GSW,W,Jason Thompson,2,2,1.0,0.9047619047619048,0.728571428571,0,4.575,0.5,1.0,0.25,0.0,0.0,0.0,1.5,2.0,0.75,0.0,2.5,2.5,1.0,0.5,0.5,0.5,0.5,2.5,3.4,5.0,8.9,/players/t/thompja02.html,0
