team_id,area,name,game_count,win_count,win_pct,his_win_pct,opp_win_pct,started_count,minutes_played,field_goals,field_goal_attempts,field_goal_pct,three_point_field_goals,three_point_field_goal_attempts,three_point_field_goal_pct,free_throws,free_throw_attempts,free_throw_pct,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,game_score,plus_minus,daily_fantasy_sports_points,uri,is_pow
MIL,E,Andrew Bogut,3,3,1.0,0.5,0.570512820513,3,32.5333333333,3.66666666667,9.0,0.373,0.0,0.0,0.0,2.0,2.66666666667,0.444333333333,2.66666666667,6.0,8.66666666667,3.0,0.333333333333,1.33333333333,1.0,3.33333333333,9.33333333333,8.93333333333,-0.666666666667,0.0,/players/b/bogutan01.html,0
SAC,W,Jason Hart,4,1,0.25,0.46153846153846156,0.519734432234,0,15.7583333333,1.5,3.75,0.325,0.0,0.75,0.0,0.0,0.5,0.0,0.0,0.5,0.5,1.5,0.75,0.0,1.75,2.0,3.0,0.175,-2.75,0.0,/players/h/hartja01.html,0
POR,W,Steve Blake,3,0,0.0,0.4166666666666667,0.542735042735,0,6.1,0.333333333333,1.33333333333,0.166666666667,0.0,0.333333333333,0.0,0.333333333333,0.333333333333,0.333333333333,0.0,0.0,0.0,1.0,0.0,0.0,0.333333333333,0.0,1.0,0.566666666667,0.666666666667,0.0,/players/b/blakest01.html,0
NOK,W,Arvydas Macijauskas,1,0,0.0,0.5,0.75,0,1.01666666667,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.7,8.0,0.0,/players/m/macijar01.html,0
SAC,W,Francisco Garcia,4,1,0.25,0.46153846153846156,0.519734432234,0,15.7583333333,1.75,3.75,0.45,0.75,1.5,0.375,1.0,1.25,0.2,0.25,1.25,1.5,2.25,1.0,0.5,0.5,1.5,5.25,5.6,2.75,0.0,/players/g/garcifr01.html,0
NOK,W,Chris Andersen,4,2,0.5,0.5,0.605357142857,0,15.7583333333,1.0,2.75,0.479,0.0,0.0,0.0,2.0,4.0,0.4375,1.25,2.25,3.5,0.0,0.0,1.25,0.75,1.25,4.0,2.85,-0.25,0.0,/players/a/anderch01.html,0
LAC,W,Corey Maggette,3,2,0.6666666666666666,0.6923076923076923,0.655982905983,3,37.2777777778,9.0,17.0,0.541,2.0,3.66666666667,0.4,6.33333333333,7.0,0.921333333333,0.0,6.0,6.0,2.33333333333,1.0,0.333333333333,2.66666666667,4.33333333333,26.3333333333,18.0333333333,9.0,0.0,/players/m/maggeco01.html,0
CHI,E,Eric Piatkowski,2,1,0.5,0.5454545454545454,0.416666666667,0,3.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.5,0.0,0.0,2.0,0.0,/players/p/piatker01.html,0
PHI,E,Steven Hunter,4,1,0.25,0.5,0.525641025641,0,14.9958333333,1.0,2.0,0.54175,0.0,0.0,0.0,1.0,1.0,0.5,0.5,2.25,2.75,0.25,0.0,0.25,0.5,1.75,3.0,2.175,2.5,0.0,/players/h/huntest01.html,0
MIL,E,Jiri Welsch,3,3,1.0,0.5,0.570512820513,0,11.8611111111,1.0,2.66666666667,0.333333333333,0.333333333333,0.333333333333,0.333333333333,0.666666666667,0.666666666667,0.333333333333,0.0,0.333333333333,0.333333333333,0.666666666667,1.66666666667,0.0,0.666666666667,0.333333333333,3.0,2.96666666667,2.66666666667,0.0,/players/w/welscji01.html,0
CHI,E,Luol Deng,4,2,0.5,0.5454545454545454,0.520833333333,0,29.4833333333,7.0,14.0,0.47575,0.75,1.75,0.25,3.0,3.0,0.75,1.75,4.75,6.5,0.5,0.75,0.75,1.25,1.25,17.75,13.275,4.0,0.0,/players/d/denglu01.html,0
