team_id,area,name,game_count,win_count,win_pct,his_win_pct,opp_win_pct,started_count,minutes_played,field_goals,field_goal_attempts,field_goal_pct,three_point_field_goals,three_point_field_goal_attempts,three_point_field_goal_pct,free_throws,free_throw_attempts,free_throw_pct,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,game_score,plus_minus,daily_fantasy_sports_points,uri,is_pow
CHI,E,Kirk Hinrich,3,2,0.6666666666666666,0.36363636363636365,0.635046113307,0,35.5833333333,4.33333333333,9.33333333333,0.462,1.0,2.66666666667,0.416666666667,1.33333333333,1.66666666667,0.555666666667,0.333333333333,1.66666666667,2.0,4.0,1.0,1.0,0.666666666667,2.33333333333,11.0,9.7,4.66666666667,0.0,/players/h/hinriki01.html,0
PHI,E,Jason Kapono,3,2,0.6666666666666666,0.21739130434782608,0.513175230567,0,6.43888888889,0.666666666667,1.66666666667,0.166666666667,0.333333333333,0.666666666667,0.166666666667,0.0,0.0,0.0,0.333333333333,0.333333333333,0.666666666667,0.0,0.0,0.0,0.333333333333,1.0,1.66666666667,0.366666666667,-5.0,0.0,/players/k/kaponja01.html,0
ORL,E,Rashard Lewis,4,3,0.75,0.7391304347826086,0.466007326007,4,30.7541666667,5.0,10.5,0.462,2.75,5.75,0.45625,1.0,1.5,0.3125,0.5,3.0,3.5,0.5,1.0,0.0,1.75,2.0,13.75,8.25,-2.25,0.0,/players/l/lewisra02.html,0
DAL,W,Kris Humphries,2,1,0.5,0.7083333333333334,0.509881422925,0,6.1,1.0,2.0,0.3335,0.0,0.0,0.0,0.5,1.0,0.25,0.5,2.0,2.5,0.0,0.0,0.0,0.5,1.5,2.5,1.15,-7.0,0.0,/players/h/humphkr01.html,0
PHI,E,Thaddeus Young,4,2,0.5,0.21739130434782608,0.561964756258,4,37.8708333333,8.0,16.5,0.46875,0.5,2.5,0.20825,1.0,1.25,0.625,3.25,5.5,8.75,1.75,1.5,0.25,2.0,1.75,17.5,13.175,3.5,0.0,/players/y/youngth01.html,0
MIA,E,Joel Anthony,3,2,0.6666666666666666,0.5,0.574069119287,0,14.5722222222,2.0,3.33333333333,0.7,0.0,0.0,0.0,1.66666666667,2.0,0.277666666667,2.0,1.0,3.0,0.0,0.666666666667,0.666666666667,0.0,2.33333333333,5.66666666667,5.9,0.0,0.0,/players/a/anthojo01.html,0
DET,E,Jason Maxiell,4,0,0.0,0.4782608695652174,0.595849802372,4,18.5541666667,2.0,5.25,0.3965,0.0,0.0,0.0,0.75,1.0,0.375,2.0,2.25,4.25,0.5,0.0,0.5,1.0,1.75,4.75,2.85,-6.5,0.0,/players/m/maxieja01.html,0
CHI,E,Derrick Rose,3,2,0.6666666666666666,0.36363636363636365,0.635046113307,3,37.2777777778,10.3333333333,21.3333333333,0.478666666667,0.0,0.333333333333,0.0,3.0,4.0,0.805666666667,0.666666666667,3.33333333333,4.0,6.0,0.333333333333,0.0,1.66666666667,1.0,23.6666666667,16.4,0.666666666667,0.0,/players/r/rosede01.html,0
MIN,W,Corey Brewer,4,2,0.5,0.125,0.574604743083,4,32.7875,6.0,13.5,0.426,0.25,1.5,0.08325,2.25,3.0,0.58325,1.25,2.25,3.5,2.0,1.0,0.0,1.0,2.75,14.5,9.0,-1.25,0.0,/players/b/breweco01.html,0
NJN,E,Rafer Alston,4,0,0.0,0.08333333333333333,0.639571931691,0,20.8416666667,4.0,11.25,0.3395,2.0,5.25,0.301,1.0,1.0,0.5,0.25,2.0,2.25,2.75,1.0,0.25,1.5,1.75,11.0,6.4,-6.0,0.0,/players/a/alstora01.html,0
