team_id,area,name,game_count,win_count,win_pct,his_win_pct,opp_win_pct,started_count,minutes_played,field_goals,field_goal_attempts,field_goal_pct,three_point_field_goals,three_point_field_goal_attempts,three_point_field_goal_pct,free_throws,free_throw_attempts,free_throw_pct,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,game_score,plus_minus,daily_fantasy_sports_points,var_minutes_played,var_field_goals,var_field_goal_attempts,var_field_goal_pct,var_three_point_field_goals,var_three_point_field_goal_attempts,var_three_point_field_goal_pct,var_free_throws,var_free_throw_attempts,var_free_throw_pct,var_offensive_rebounds,var_defensive_rebounds,var_total_rebounds,var_assists,var_steals,var_blocks,var_turnovers,var_personal_fouls,var_points,var_game_score,var_plus_minus,var_daily_fantasy_sports_points,var_opp_win_pct,uri,is_pow
OKC,W,Andre Roberson,1,0,0.0,0.0,0.0,0,9.15,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.7,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/players/r/roberan03.html,0
ORL,E,Andrew Nicholson,4,2,0.5,0.0,0.0,0,23.6375,6.0,11.25,0.5405,1.0,2.75,0.4375,1.25,1.25,0.25,1.25,5.5,6.75,0.0,0.25,0.25,1.25,3.25,14.25,9.175,7.0,0.0,19.8324131944,2.0,1.6875,0.02372075,0.5,0.6875,0.13671875,4.6875,4.6875,0.1875,1.1875,3.25,7.1875,0.0,0.1875,0.1875,1.1875,2.1875,12.6875,33.996875,27.5,0.0,0.0,/players/n/nichoan01.html,0
SAC,W,DeMarcus Cousins,3,1,0.3333333333333333,0.0,0.0,3,31.1777777778,8.33333333333,17.6666666667,0.449666666667,0.0,0.333333333333,0.0,4.0,6.33333333333,0.635,3.33333333333,7.0,10.3333333333,1.66666666667,2.66666666667,1.33333333333,3.33333333333,4.0,20.6666666667,14.9666666667,-5.33333333333,0.0,85.6748765432,16.8888888889,54.8888888889,0.00290022222222,0.0,0.222222222222,0.0,2.66666666667,6.22222222222,0.002048,1.55555555556,2.66666666667,8.22222222222,2.88888888889,0.222222222222,0.888888888889,0.888888888889,0.666666666667,86.2222222222,41.7688888889,49.5555555556,0.0,0.0,/players/c/couside01.html,0
UTA,W,Derrick Favors,3,0,0.0,0.0,0.0,3,37.9555555556,5.0,10.0,0.491333333333,0.0,0.0,0.0,3.66666666667,5.66666666667,0.726333333333,2.33333333333,8.33333333333,10.6666666667,3.0,1.0,1.33333333333,4.0,3.33333333333,13.6666666667,10.7,-5.0,0.0,14.0111728395,2.0,4.66666666667,0.00228022222222,0.0,0.0,0.0,2.88888888889,6.88888888889,0.0546202222222,1.55555555556,13.5555555556,21.5555555556,4.66666666667,0.666666666667,0.888888888889,2.66666666667,1.55555555556,1.55555555556,1.70666666667,8.66666666667,0.0,0.0,/players/f/favorde01.html,0
CHA,E,Jeff Adrien,3,1,0.3333333333333333,0.0,0.0,0,11.5222222222,1.66666666667,3.0,0.523666666667,0.0,0.0,0.0,1.0,1.33333333333,0.333333333333,2.33333333333,3.0,5.33333333333,0.0,0.333333333333,1.0,0.333333333333,1.0,4.33333333333,5.6,-2.0,0.0,76.0278395062,2.88888888889,8.0,0.167786888889,0.0,0.0,0.0,2.0,1.55555555556,0.222222222222,10.8888888889,6.0,30.8888888889,0.0,0.222222222222,0.666666666667,0.222222222222,0.666666666667,10.8888888889,22.9266666667,4.66666666667,0.0,0.0,/players/a/adrieje01.html,0
LAL,W,Jordan Farmar,4,2,0.5,0.0,0.0,0,21.8583333333,4.0,9.25,0.43375,1.25,3.25,0.39575,0.75,1.25,0.375,0.75,3.0,3.75,4.5,0.75,0.0,3.0,1.75,10.0,6.55,2.25,0.0,21.9642361111,2.5,6.6875,0.0170421875,0.1875,0.1875,0.0256736875,0.6875,2.6875,0.171875,0.6875,1.5,0.6875,1.25,0.6875,0.0,0.5,3.6875,18.5,16.5525,92.1875,0.0,0.0,/players/f/farmajo01.html,0
CHI,E,Nazr Mohammed,3,1,0.3333333333333333,0.0,0.0,0,5.42222222222,0.333333333333,0.333333333333,0.333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.666666666667,1.0,1.66666666667,0.666666666667,0.0,0.333333333333,1.0,0.333333333333,0.666666666667,0.9,-2.33333333333,0.0,1.60783950617,0.222222222222,0.222222222222,0.222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.222222222222,0.666666666667,1.55555555556,0.222222222222,0.0,0.222222222222,0.666666666667,0.222222222222,0.888888888889,4.94,22.8888888889,0.0,0.0,/players/m/mohamna01.html,0
LAL,W,Nick Young,4,2,0.5,0.0,0.0,3,19.825,2.75,7.75,0.35275,0.75,2.5,0.25,3.25,4.0,0.8875,0.0,2.0,2.0,1.25,0.5,0.5,0.75,2.25,9.5,5.55,-5.75,0.0,3.35923611111,2.1875,7.6875,0.0153946875,0.1875,2.75,0.03125,3.6875,7.5,0.01296875,0.0,1.5,1.5,2.6875,0.25,0.75,0.6875,3.1875,12.25,20.5525,42.1875,0.0,0.0,/players/y/youngni01.html,0
SAC,W,Greivis Vasquez,3,1,0.3333333333333333,0.0,0.0,3,26.7722222222,3.0,7.0,0.403333333333,0.333333333333,1.66666666667,0.166666666667,2.66666666667,3.0,0.6,0.0,1.66666666667,1.66666666667,3.66666666667,0.0,0.0,0.666666666667,2.0,9.0,6.76666666667,-8.33333333333,0.0,49.8430246914,4.66666666667,2.66666666667,0.0457682222222,0.222222222222,1.55555555556,0.0555555555556,3.55555555556,4.66666666667,0.186666666667,0.0,0.222222222222,0.222222222222,0.222222222222,0.0,0.0,0.888888888889,0.666666666667,38.0,36.7022222222,53.5555555556,0.0,0.0,/players/v/vasqugr01.html,0
DAL,W,Jose Calderon,3,2,0.6666666666666666,0.0,0.0,3,32.8722222222,1.66666666667,8.66666666667,0.169,1.33333333333,5.0,0.209666666667,2.0,2.0,0.666666666667,0.666666666667,1.0,1.66666666667,7.33333333333,1.0,0.0,1.66666666667,2.33333333333,6.66666666667,5.56666666667,1.66666666667,0.0,30.5489506173,2.88888888889,2.88888888889,0.0224206666667,1.55555555556,2.66666666667,0.0307202222222,2.66666666667,2.66666666667,0.222222222222,0.888888888889,0.666666666667,0.222222222222,6.88888888889,0.0,0.0,2.88888888889,0.222222222222,38.8888888889,42.6022222222,22.8888888889,0.0,0.0,/players/c/caldejo01.html,0
