team_id,area,name,game_count,win_count,win_pct,his_win_pct,opp_win_pct,started_count,minutes_played,field_goals,field_goal_attempts,field_goal_pct,three_point_field_goals,three_point_field_goal_attempts,three_point_field_goal_pct,free_throws,free_throw_attempts,free_throw_pct,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,game_score,plus_minus,daily_fantasy_sports_points,uri,is_pow
DEN,W,Anthony Carter,1,0,0.0,0.65,0.5,0,12.2,2.0,3.0,0.667,0.0,0.0,0.0,1.0,2.0,0.5,0.0,1.0,1.0,3.0,0.0,0.0,1.0,1.0,5.0,4.3,8.0,0.0,/players/c/cartean01.html,0
CHI,E,Derrick Rose,3,2,0.6666666666666666,0.45,0.407797217666,3,40.3277777778,6.33333333333,14.3333333333,0.419333333333,0.0,0.333333333333,0.0,5.33333333333,5.66666666667,0.958333333333,0.0,2.66666666667,2.66666666667,5.66666666667,0.666666666667,0.0,1.66666666667,1.0,18.0,13.7333333333,3.33333333333,0.0,/players/r/rosede01.html,0
TOR,E,Jose Calderon,3,0,0.0,0.3770491803278688,0.594827586207,3,35.5833333333,3.66666666667,9.0,0.374,0.0,2.0,0.0,0.333333333333,0.333333333333,0.333333333333,0.333333333333,2.0,2.33333333333,11.0,1.0,0.333333333333,1.33333333333,1.0,7.66666666667,10.8666666667,-7.33333333333,0.0,/players/c/caldejo01.html,0
MEM,W,Darius Miles,3,1,0.3333333333333333,0.25862068965517243,0.561111111111,0,6.43888888889,1.0,1.66666666667,0.389,0.0,0.0,0.0,0.0,0.0,0.0,0.333333333333,1.0,1.33333333333,1.0,0.0,0.333333333333,0.666666666667,1.0,2.0,1.63333333333,0.0,0.0,/players/m/milesda01.html,0
MEM,W,Darko Milicic,4,1,0.25,0.25862068965517243,0.545833333333,0,10.675,0.25,3.0,0.05,0.0,0.0,0.0,0.0,0.5,0.0,0.5,1.75,2.25,0.25,0.0,0.0,0.75,0.75,0.5,-1.7,-8.75,0.0,/players/m/milicda01.html,0
UTA,W,Carlos Boozer,2,2,1.0,0.6166666666666667,0.641666666667,2,34.0583333333,6.0,14.5,0.402,0.0,0.0,0.0,2.5,3.0,0.75,5.0,11.5,16.5,2.0,2.0,0.5,1.5,4.5,14.5,13.95,10.0,0.0,/players/b/boozeca01.html,0
MIA,E,Jamario Moon,4,2,0.5,0.5344827586206896,0.63488181583,4,34.8208333333,3.25,7.5,0.40575,1.0,3.5,0.25,0.75,1.0,0.25,0.25,5.5,5.75,1.0,0.75,0.75,1.25,2.5,8.25,5.75,1.5,0.0,/players/m/moonja01.html,0
CHI,E,Aaron Gray,2,1,0.5,0.45,0.377824858757,0,3.05,0.5,1.5,0.25,0.0,0.0,0.0,0.5,1.0,0.25,0.0,1.5,1.5,0.0,0.0,0.0,0.5,1.0,1.5,0.0,3.0,0.0,/players/g/grayaa01.html,0
TOR,E,Marcus Banks,1,0,0.0,0.3770491803278688,0.534482758621,0,2.03333333333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,-1.4,-3.0,0.0,/players/b/banksma01.html,0
UTA,W,Kyle Korver,3,3,1.0,0.6166666666666667,0.553460837887,0,21.0111111111,3.33333333333,6.0,0.542666666667,1.0,2.33333333333,0.466666666667,2.0,2.0,0.333333333333,0.666666666667,2.33333333333,3.0,1.0,0.666666666667,0.666666666667,1.66666666667,2.33333333333,9.66666666667,7.2,1.0,0.0,/players/k/korveky01.html,0
