team_id,area,name,game_count,win_count,win_pct,his_win_pct,opp_win_pct,started_count,minutes_played,field_goals,field_goal_attempts,field_goal_pct,three_point_field_goals,three_point_field_goal_attempts,three_point_field_goal_pct,free_throws,free_throw_attempts,free_throw_pct,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,game_score,plus_minus,daily_fantasy_sports_points,uri,is_pow
CHI,E,Derrick Rose,4,0,0.0,0.43902439024390244,0.417775207249,4,35.8375,7.0,16.0,0.4375,0.25,1.25,0.08325,1.5,1.75,0.66675,1.5,1.75,3.25,5.75,0.75,0.25,3.75,1.75,15.75,9.325,-8.0,0.0,/players/r/rosede01.html,0
TOR,E,Jose Calderon,2,2,1.0,0.38095238095238093,0.341463414634,2,28.4666666667,7.5,9.5,0.7835,1.0,1.5,0.75,3.5,3.5,1.0,0.0,1.5,1.5,9.0,0.5,0.0,0.0,2.0,19.5,22.3,19.0,0.0,/players/c/caldejo01.html,0
MEM,W,Darius Miles,4,0,0.0,0.28205128205128205,0.453033145716,0,13.4708333333,1.25,3.0,0.479,0.0,0.0,0.0,1.0,1.5,0.25,0.75,2.75,3.5,0.0,0.25,0.75,1.25,1.75,3.5,1.875,-6.75,0.0,/players/m/milesda01.html,0
DEN,W,Chris Andersen,3,2,0.6666666666666666,0.6585365853658537,0.479674796748,0,22.0277777778,3.0,4.33333333333,0.694666666667,0.0,0.333333333333,0.0,2.0,2.66666666667,0.75,2.33333333333,2.33333333333,4.66666666667,0.666666666667,0.333333333333,3.0,1.33333333333,2.0,8.0,9.0,11.0,0.0,/players/a/anderch01.html,0
NYK,E,Wilson Chandler,4,3,0.75,0.38461538461538464,0.456584707547,4,20.5875,2.0,6.25,0.29225,0.0,1.75,0.0,0.0,0.0,0.0,0.0,2.5,2.5,2.25,1.0,0.75,2.25,0.5,4.0,1.825,-5.25,0.0,/players/c/chandwi01.html,0
UTA,W,Kyle Korver,4,1,0.25,0.5853658536585366,0.599967907574,0,25.6708333333,3.5,9.25,0.35525,1.5,5.0,0.30825,1.25,1.25,0.75,1.0,3.25,4.25,2.0,0.5,0.5,1.25,1.75,9.75,6.65,0.75,0.0,/players/k/korveky01.html,0
BOS,E,Brian Scalabrine,4,4,1.0,0.7857142857142857,0.633785301669,1,19.3166666667,1.25,4.25,0.2875,0.75,2.0,0.29175,0.75,0.75,0.25,0.25,1.25,1.5,1.0,0.0,0.5,0.5,3.25,4.0,1.325,7.75,0.0,/players/s/scalabr01.html,0
NYK,E,Danilo Gallinari,3,3,1.0,0.38461538461538464,0.442112943397,0,17.2833333333,3.66666666667,6.33333333333,0.580666666667,1.33333333333,3.0,0.444333333333,1.33333333333,1.33333333333,0.333333333333,0.666666666667,2.66666666667,3.33333333333,1.33333333333,1.0,0.666666666667,0.666666666667,3.33333333333,10.0,8.7,15.3333333333,0.0,/players/g/gallida01.html,0
ATL,E,Acie Law,1,1,1.0,0.5897435897435898,0.380952380952,0,2.03333333333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.7,-3.0,0.0,/players/l/lawac01.html,0
SAS,W,Kurt Thomas,4,3,0.75,0.6666666666666666,0.508321607255,0,19.825,1.5,4.5,0.35,0.0,0.0,0.0,1.25,1.5,0.625,1.0,3.0,4.0,2.0,0.25,0.75,0.25,2.5,4.25,4.125,5.0,0.0,/players/t/thomaku01.html,0
