team_id,area,name,game_count,win_count,win_pct,his_win_pct,opp_win_pct,started_count,minutes_played,field_goals,field_goal_attempts,field_goal_pct,three_point_field_goals,three_point_field_goal_attempts,three_point_field_goal_pct,free_throws,free_throw_attempts,free_throw_pct,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,game_score,plus_minus,daily_fantasy_sports_points,uri,is_pow
GSW,W,Andris Biedrins,4,0,0.0,0.4,0.540100250627,1,11.9458333333,0.25,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.75,2.0,0.75,0.25,1.25,0.25,2.0,0.5,1.55,-9.25,0.0,/players/b/biedran01.html,0
MIL,E,Beno Udrih,4,1,0.25,0.5,0.558035714286,0,13.725,1.25,4.25,0.2625,0.0,0.75,0.0,0.0,0.0,0.0,0.5,1.25,1.75,2.5,1.0,0.0,1.25,0.75,2.5,1.95,0.75,0.0,/players/u/udrihbe01.html,0
TOR,E,Ed Davis,4,2,0.5,0.3508771929824561,0.573229949875,0,26.9416666667,4.25,8.0,0.5445,0.0,0.0,0.0,1.0,2.0,0.25,2.75,7.25,10.0,1.75,0.25,0.75,1.75,2.25,9.5,8.65,0.25,0.0,/players/d/davised01.html,0
OKC,W,Nick Collison,4,3,0.75,0.7321428571428571,0.469768170426,0,19.825,2.0,4.25,0.51775,0.0,0.25,0.0,0.75,1.0,0.375,3.0,3.5,6.5,1.0,0.25,0.5,0.25,1.75,4.75,5.975,3.5,0.0,/players/c/collini01.html,0
OKC,W,Thabo Sefolosha,4,3,0.75,0.7321428571428571,0.469768170426,4,24.1458333333,3.0,6.25,0.45475,1.5,3.0,0.5625,0.5,0.5,0.25,1.5,2.0,3.5,2.0,2.25,0.0,0.75,2.5,8.0,8.375,13.0,0.0,/players/s/sefolth01.html,0
NYK,E,Mike Bibby,3,2,0.6666666666666666,0.5178571428571429,0.480519480519,0,12.2,0.666666666667,1.66666666667,0.166666666667,0.666666666667,1.66666666667,0.166666666667,0.0,0.0,0.0,0.0,1.33333333333,1.33333333333,1.66666666667,0.333333333333,0.0,0.333333333333,0.333333333333,2.0,2.53333333333,2.0,0.0,/players/b/bibbymi01.html,0
LAL,W,Josh McRoberts,4,4,1.0,0.6140350877192983,0.522042954609,0,13.725,1.0,1.5,0.3125,0.0,0.25,0.0,0.5,0.5,0.25,0.75,1.0,1.75,0.75,0.0,0.25,0.5,0.75,2.5,2.575,1.25,0.0,/players/m/mcrobjo01.html,0
DEN,W,Al Harrington,4,3,0.75,0.5357142857142857,0.50155075188,0,20.3333333333,4.25,9.5,0.44825,2.25,4.25,0.52925,0.25,0.5,0.125,0.5,2.0,2.5,0.75,1.0,0.0,1.5,2.25,11.0,6.025,3.0,0.0,/players/h/harrial01.html,0
DET,E,Ben Wallace,4,1,0.25,0.375,0.493325327207,0,15.7583333333,0.5,1.0,0.16675,0.0,0.0,0.0,0.25,0.5,0.125,1.5,2.25,3.75,0.75,0.75,0.75,0.25,1.0,1.25,3.525,-2.5,0.0,/players/w/wallabe01.html,0
MIA,E,Dexter Pittman,1,1,1.0,0.7272727272727273,0.12962962963,0,18.3,7.0,11.0,0.636,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,3.0,16.0,9.9,12.0,0.0,/players/p/pittmde01.html,0
CLE,E,Samardo Samuels,5,2,0.4,0.3333333333333333,0.429497354497,0,16.6733333333,2.0,4.4,0.2952,0.0,0.0,0.0,2.2,2.2,0.8,1.8,3.2,5.0,0.6,0.2,0.6,0.8,2.4,6.2,5.42,5.8,0.0,/players/s/samuesa01.html,0
