team_id,area,name,game_count,win_count,win_pct,started_count,minutes_played,field_goals,field_goal_attempts,field_goal_pct,three_point_field_goals,three_point_field_goal_attempts,three_point_field_goal_pct,free_throws,free_throw_attempts,free_throw_pct,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,game_score,plus_minus,daily_fantasy_sports_points,uri,is_pow
LAL,W,Carlos Boozer,2,0,0.0,0,15.25,4.0,8.5,0.47058823529411764,0.0,0.0,0.0,1.0,1.0,1.0,4.0,4.0,8.0,0.5,0.0,0.5,1.0,3.0,9.0,7.15,-7.0,,/players/b/boozeca01.html,0
MEM,W,Nick Calathes,5,3,0.6,0,19.52,1.4,4.4,0.3181818181818181,0.0,0.2,0.0,0.6,1.4,0.4285714285714286,1.2,1.6,2.8,4.0,1.4,0.0,1.2,2.8,3.4,3.7600000000000002,8.2,,/players/c/calatni01.html,0
ORL,E,Tobias Harris,4,1,0.25,4,34.05833333333333,6.5,13.25,0.49056603773584906,0.75,3.5,0.21428571428571427,2.5,3.0,0.8333333333333334,1.25,5.75,7.0,1.0,0.5,0.0,1.0,1.25,16.25,11.675,-7.5,,/players/h/harrito02.html,0
BRK,E,Mirza Teletovic,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,/players/t/teletmi01.html,0
CLE,E,Brendan Haywood,1,1,1.0,0,14.233333333333333,2.0,3.0,0.6666666666666666,0.0,0.0,0.0,1.0,3.0,0.3333333333333333,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,5.0,4.2,-2.0,,/players/h/haywobr01.html,0
OKC,W,D.J. Augustin,5,3,0.6,0,19.723333333333336,1.4,5.2,0.2692307692307692,0.6,2.4,0.25,0.6,0.6,1.0,0.0,0.8,0.8,3.2,0.2,0.0,0.8,1.0,4.0,2.4000000000000004,1.2,,/players/a/augusdj01.html,0
PHI,E,Henry Sims,4,0,0.0,1,22.62083333333333,3.25,7.75,0.41935483870967744,0.0,0.5,0.0,1.5,2.25,0.6666666666666666,2.25,3.0,5.25,1.5,0.75,1.0,1.25,3.75,8.0,5.800000000000001,-0.75,,/players/s/simshe01.html,0
WAS,E,John Wall,2,1,0.5,2,40.15833333333333,8.0,21.5,0.37209302325581395,1.0,4.5,0.2222222222222222,3.0,3.5,0.8571428571428571,0.0,3.0,3.0,10.0,2.0,0.5,7.5,2.0,20.0,9.9,0.5,,/players/w/walljo01.html,0
SAS,W,Aron Baynes,5,4,0.8,4,21.14666666666667,4.0,5.6,0.7142857142857143,0.0,0.0,0.0,0.6,0.8,0.7499999999999999,2.2,3.8,6.0,0.6,0.6,0.2,0.4,2.8,8.6,8.52,3.2,,/players/b/baynear01.html,0
SAC,W,Jason Thompson,6,3,0.5,5,29.822222222222226,3.6666666666666665,7.833333333333333,0.46808510638297873,0.0,0.0,0.0,1.6666666666666667,3.3333333333333335,0.5,2.1666666666666665,7.0,9.166666666666666,2.3333333333333335,0.6666666666666666,1.5,1.3333333333333333,3.1666666666666665,9.0,8.683333333333332,0.16666666666666666,,/players/t/thompja02.html,0
