team_id,area,name,game_count,win_count,win_pct,his_win_pct,opp_win_pct,started_count,minutes_played,field_goals,field_goal_attempts,field_goal_pct,three_point_field_goals,three_point_field_goal_attempts,three_point_field_goal_pct,free_throws,free_throw_attempts,free_throw_pct,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,game_score,plus_minus,daily_fantasy_sports_points,uri,is_pow
ORL,E,Ish Smith,1,0,0.0,0.3333333333333333,1.0,0,9.15,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,-0.8,-5.0,0.0,/players/s/smithis01.html,0
CHI,E,Nazr Mohammed,4,1,0.25,0.6666666666666666,0.494047619048,0,5.08333333333,0.0,1.25,0.0,0.0,0.0,0.0,0.5,0.5,0.25,0.25,1.0,1.25,0.25,0.25,0.0,0.25,0.5,0.5,0.075,-2.0,0.0,/players/m/mohamna01.html,0
NYK,E,Marcus Camby,2,2,1.0,1.0,0.380952380952,0,7.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.5,0.5,0.5,0.0,0.25,-1.5,0.0,/players/c/cambyma01.html,0
OKC,W,Eric Maynor,4,3,0.75,0.7142857142857143,0.465476190476,0,10.1666666667,1.0,3.5,0.2665,0.75,1.5,0.29175,1.0,1.0,0.5,0.0,0.0,0.0,1.25,0.0,0.0,0.25,0.75,3.75,2.025,-3.25,0.0,/players/m/maynoer01.html,0
CHA,E,DeSagana Diop,1,1,1.0,0.4,0.0,0,3.05,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,3.0,0.0,/players/d/diopde01.html,0
PHI,E,Nick Young,4,2,0.5,0.6666666666666666,0.328571428571,0,20.5875,3.0,6.5,0.497,1.25,2.25,0.66675,3.0,3.5,0.83325,0.0,1.0,1.0,1.75,1.0,0.25,0.25,1.0,10.25,8.75,2.5,0.0,/players/y/youngni01.html,0
PHI,E,Royal Ivey,4,2,0.5,0.6666666666666666,0.328571428571,0,11.4375,1.5,4.25,0.27375,0.5,1.75,0.1665,0.0,0.0,0.0,0.25,0.75,1.0,0.5,0.75,0.25,0.5,1.5,3.5,1.7,-8.25,0.0,/players/i/iveyro01.html,0
ORL,E,Jameer Nelson,2,1,0.5,0.3333333333333333,0.0833333333333,2,34.0583333333,3.5,12.0,0.2975,0.5,4.5,0.125,3.0,3.0,1.0,0.5,3.5,4.0,9.5,2.0,0.0,2.5,3.5,10.5,9.65,-5.5,0.0,/players/n/nelsoja01.html,0
NOH,W,Robin Lopez,3,0,0.0,0.6,0.604761904762,3,23.0444444444,3.0,5.66666666667,0.591666666667,0.0,0.0,0.0,2.33333333333,3.0,0.452333333333,1.0,1.0,2.0,1.33333333333,0.333333333333,1.0,0.666666666667,1.66666666667,8.33333333333,6.93333333333,1.33333333333,0.0,/players/l/lopezro01.html,0
POR,W,LaMarcus Aldridge,4,3,0.75,0.3333333333333333,0.463095238095,4,39.3958333333,6.5,15.0,0.41825,0.0,0.0,0.0,7.0,9.0,0.77375,2.0,5.5,7.5,3.25,0.75,1.0,2.5,3.0,20.0,14.375,4.0,0.0,/players/a/aldrila01.html,0
ORL,E,Maurice Harkless,3,1,0.3333333333333333,0.3333333333333333,0.388888888889,0,12.8777777778,2.0,3.33333333333,0.404666666667,0.0,0.0,0.0,0.0,0.666666666667,0.0,1.66666666667,2.66666666667,4.33333333333,0.0,0.0,1.33333333333,0.333333333333,0.666666666667,4.0,4.5,1.33333333333,0.0,/players/h/harklma01.html,0
SAS,W,Kawhi Leonard,2,1,0.5,0.8571428571428571,0.714285714286,2,29.9916666667,4.5,9.0,0.5,2.0,4.5,0.4645,0.5,0.5,0.5,2.5,4.0,6.5,1.0,1.5,0.0,1.5,2.0,11.5,9.85,-5.0,0.0,/players/l/leonaka01.html,0
ATL,E,Ivan Johnson,3,2,0.6666666666666666,0.4,0.349206349206,0,14.2333333333,3.33333333333,4.0,0.541666666667,0.0,0.0,0.0,0.333333333333,1.33333333333,0.0833333333333,1.0,1.33333333333,2.33333333333,0.333333333333,1.33333333333,0.0,0.666666666667,2.33333333333,7.0,6.2,-1.66666666667,0.0,/players/j/johnsiv01.html,0
GSW,W,Draymond Green,3,2,0.6666666666666666,0.42857142857142855,0.593650793651,0,14.9111111111,2.0,3.33333333333,0.444666666667,0.666666666667,1.66666666667,0.333333333333,1.0,1.33333333333,0.25,1.0,2.33333333333,3.33333333333,0.666666666667,0.333333333333,0.333333333333,0.666666666667,2.66666666667,5.66666666667,4.7,3.33333333333,0.0,/players/g/greendr01.html,0
CHA,E,Brendan Haywood,3,2,0.6666666666666666,0.4,0.5,3,25.4166666667,3.0,5.33333333333,0.555666666667,0.0,0.0,0.0,0.333333333333,0.333333333333,0.333333333333,2.33333333333,4.0,6.33333333333,0.666666666667,0.666666666667,1.0,1.33333333333,2.66666666667,6.33333333333,6.06666666667,-4.0,0.0,/players/h/haywobr01.html,0
NYK,E,J.R. Smith,4,3,0.75,1.0,0.613095238095,0,33.8041666667,6.0,11.75,0.50125,1.0,2.25,0.58325,2.0,2.75,0.7,0.25,5.5,5.75,2.5,1.0,0.75,1.5,2.75,15.0,11.375,3.0,0.0,/players/s/smithjr01.html,0
