team_id,area,name,game_count,win_count,win_pct,his_win_pct,opp_win_pct,started_count,minutes_played,field_goals,field_goal_attempts,field_goal_pct,three_point_field_goals,three_point_field_goal_attempts,three_point_field_goal_pct,free_throws,free_throw_attempts,free_throw_pct,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,game_score,plus_minus,daily_fantasy_sports_points,uri,is_pow
CHI,E,Andre Barrett,1,1,1.0,0.5882352941176471,0.228571428571,0,10.1666666667,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,0.0,0.0,1.0,2.0,2.0,1.9,5.0,0.0,/players/b/barrean01.html,0
BOS,E,Gerald Green,3,0,0.0,0.36363636363636365,0.527830487034,3,38.6333333333,6.33333333333,16.3333333333,0.373,1.66666666667,4.33333333333,0.333333333333,2.66666666667,2.66666666667,1.0,1.33333333333,2.66666666667,4.0,1.33333333333,0.666666666667,0.666666666667,3.66666666667,3.66666666667,17.0,6.76666666667,-7.66666666667,0.0,/players/g/greenge01.html,0
PHO,W,Jumaine Jones,1,1,1.0,0.7575757575757576,0.636363636364,0,3.05,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.1,-7.0,0.0,/players/j/jonesju01.html,0
GSW,W,Mickael Pietrus,1,0,0.0,0.5,0.6,1,28.4666666667,2.0,6.0,0.333,2.0,4.0,0.5,2.0,6.0,0.333,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,8.0,3.9,-16.0,0.0,/players/p/pietrmi01.html,0
NJN,E,Antoine Wright,1,0,0.0,0.42424242424242425,0.53125,0,6.1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.8,-3.0,0.0,/players/w/wrighan01.html,0
DAL,W,Erick Dampier,4,4,1.0,0.7714285714285715,0.519117647059,4,30.7541666667,1.75,3.0,0.51675,0.0,0.0,0.0,1.75,2.0,0.45825,2.25,5.25,7.5,0.75,0.75,1.5,1.5,3.75,5.25,6.225,8.25,0.0,/players/d/dampier01.html,0
POR,W,Sergio Rodriguez,4,1,0.25,0.4,0.606221198157,0,14.2333333333,3.75,5.0,0.5965,0.25,0.75,0.08325,0.0,0.0,0.0,0.0,2.0,2.0,4.25,0.75,0.0,1.5,1.5,7.75,7.975,2.5,0.0,/players/r/rodrise01.html,0
POR,W,Zach Randolph,4,1,0.25,0.4,0.606221198157,4,32.7875,6.75,16.5,0.402,0.0,0.5,0.0,4.75,6.25,0.8035,2.0,5.75,7.75,2.0,0.75,0.0,2.5,2.0,18.25,10.775,-10.75,0.0,/players/r/randoza01.html,0
HOU,W,Scott Padgett,2,2,1.0,0.6176470588235294,0.632352941176,0,2.03333333333,0.0,1.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.5,0.0,-1.4,1.5,0.0,/players/p/padgesc01.html,0
ATL,E,Shelden Williams,3,1,0.3333333333333333,0.3225806451612903,0.501983784716,2,24.7388888889,3.0,6.0,0.5,0.0,0.0,0.0,2.66666666667,2.66666666667,0.666666666667,2.33333333333,3.66666666667,6.0,0.333333333333,0.333333333333,0.666666666667,1.66666666667,3.66666666667,8.66666666667,6.3,-6.33333333333,0.0,/players/w/willish02.html,0
PHI,E,Kyle Korver,4,1,0.25,0.2727272727272727,0.44891709433,0,28.4666666667,5.25,12.75,0.41475,1.25,4.5,0.268,1.75,2.25,0.3875,0.0,3.25,3.25,2.0,0.75,0.0,1.75,2.25,13.5,6.95,2.75,0.0,/players/k/korveky01.html,0
TOR,E,Jose Calderon,4,2,0.5,0.4411764705882353,0.511038961039,0,19.5708333333,3.25,6.0,0.6495,0.5,1.0,0.375,2.0,2.75,0.59525,0.25,0.75,1.0,6.25,0.5,0.0,1.5,2.25,9.0,8.675,2.75,0.0,/players/c/caldejo01.html,0
DEN,W,Allen Iverson,4,2,0.5,0.5161290322580645,0.547052457347,4,43.7166666667,11.25,22.0,0.50725,1.0,2.0,0.375,5.5,6.0,0.9125,0.25,2.0,2.25,5.75,1.5,0.25,4.0,0.5,29.0,20.175,3.5,0.0,/players/i/iversal01.html,0
LAC,W,Quinton Ross,3,2,0.6666666666666666,0.4411764705882353,0.510416666667,0,8.47222222222,0.666666666667,1.66666666667,0.277666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.333333333333,0.333333333333,0.333333333333,1.66666666667,1.33333333333,0.3,-6.33333333333,0.0,/players/r/rossqu01.html,0
PHI,E,Samuel Dalembert,4,1,0.25,0.2727272727272727,0.44891709433,4,36.0916666667,6.25,11.25,0.553,0.0,0.0,0.0,2.5,3.0,0.91675,6.0,6.0,12.0,1.25,0.5,3.5,2.5,3.0,15.0,15.55,2.0,0.0,/players/d/dalemsa01.html,0
