team_id,area,name,game_count,win_count,win_pct,his_win_pct,opp_win_pct,started_count,minutes_played,field_goals,field_goal_attempts,field_goal_pct,three_point_field_goals,three_point_field_goal_attempts,three_point_field_goal_pct,free_throws,free_throw_attempts,free_throw_pct,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,game_score,plus_minus,daily_fantasy_sports_points,var_minutes_played,var_field_goals,var_field_goal_attempts,var_field_goal_pct,var_three_point_field_goals,var_three_point_field_goal_attempts,var_three_point_field_goal_pct,var_free_throws,var_free_throw_attempts,var_free_throw_pct,var_offensive_rebounds,var_defensive_rebounds,var_total_rebounds,var_assists,var_steals,var_blocks,var_turnovers,var_personal_fouls,var_points,var_game_score,var_plus_minus,var_daily_fantasy_sports_points,var_opp_win_pct,uri,is_pow
OKC,W,Andre Roberson,2,2,1.0,0.7,0.359848484848,0,6.60833333333,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.25,0.5,0.5,1.0,0.5,0.0,0.0,0.5,2.5,0.5,-0.35,-6.5,0.0,31.2667361111,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0,0.0625,0.25,0.25,1.0,0.25,0.0,0.0,0.25,2.25,0.25,0.0025,42.25,0.0,0.0764606290174,/players/r/roberan03.html,0
ORL,E,Andrew Nicholson,3,0,0.0,0.4,0.651851851852,0,16.2666666667,1.66666666667,3.66666666667,0.208333333333,1.0,1.66666666667,0.25,2.66666666667,3.33333333333,0.5,1.0,2.66666666667,3.66666666667,0.666666666667,0.333333333333,0.333333333333,0.0,1.66666666667,7.0,6.7,3.33333333333,0.0,70.9746296296,5.55555555556,10.8888888889,0.0868055555556,2.0,2.88888888889,0.125,6.22222222222,6.22222222222,0.166666666667,0.666666666667,6.22222222222,10.8888888889,0.222222222222,0.222222222222,0.222222222222,0.0,0.888888888889,72.6666666667,66.4066666667,16.2222222222,0.0,0.00463648834019,/players/n/nichoan01.html,0
UTA,W,Jeremy Evans,4,1,0.25,0.08333333333333333,0.600757575758,0,17.2833333333,4.0,5.0,0.76775,0.0,0.0,0.0,0.25,0.25,0.25,2.0,1.75,3.75,1.0,1.0,1.0,1.75,2.5,8.25,7.925,-1.25,0.0,16.0209722222,4.5,4.5,0.0545701875,0.0,0.0,0.0,0.1875,0.1875,0.1875,1.5,3.6875,3.6875,0.5,0.5,0.5,0.1875,1.25,18.1875,13.486875,26.1875,0.0,0.0139411157025,/players/e/evansje01.html,0
SAC,W,DeMarcus Cousins,4,2,0.5,0.2222222222222222,0.541035353535,4,33.0416666667,7.25,17.0,0.4175,0.0,0.0,0.0,7.0,10.75,0.63675,2.75,10.0,12.75,4.75,1.75,0.5,3.0,4.5,21.5,16.55,0.75,0.0,18.8634027778,5.6875,11.0,0.00640925,0.0,0.0,0.0,10.0,18.1875,0.0088206875,0.6875,14.0,15.6875,5.1875,1.6875,0.75,0.5,0.75,14.75,19.9125,50.1875,0.0,0.00624418107846,/players/c/couside01.html,0
UTA,W,Derrick Favors,4,1,0.25,0.08333333333333333,0.600757575758,4,30.7541666667,3.75,8.0,0.46825,0.0,0.0,0.0,3.5,5.25,0.65825,3.25,5.5,8.75,0.25,1.75,0.25,2.5,3.5,11.0,8.325,-10.75,0.0,48.7735243056,0.6875,0.5,0.0088486875,0.0,0.0,0.0,1.25,0.6875,0.0251791875,0.1875,2.25,2.1875,0.1875,1.6875,0.1875,0.25,2.25,4.5,2.796875,101.1875,0.0,0.0139411157025,/players/f/favorde01.html,0
CHA,E,Jeff Adrien,4,2,0.5,0.45454545454545453,0.360353535354,0,18.3,1.25,3.0,0.30825,0.0,0.0,0.0,1.75,2.75,0.5625,2.75,3.75,6.5,0.0,0.5,0.25,0.5,1.5,4.25,4.875,-2.5,0.0,17.5713888889,0.6875,3.5,0.0352041875,0.0,0.0,0.0,1.6875,0.6875,0.13671875,3.1875,3.1875,12.25,0.0,0.25,0.1875,0.25,0.75,4.6875,8.586875,52.25,0.0,0.0152093536374,/players/a/adrieje01.html,0
LAL,W,Jordan Farmar,2,2,1.0,0.4166666666666667,0.474747474747,0,18.3,4.5,8.5,0.521,1.5,4.0,0.375,1.0,1.0,0.5,0.0,2.0,2.0,5.5,1.0,0.5,0.0,1.0,11.5,12.75,17.0,0.0,1.03361111111,2.25,0.25,0.021316,0.25,0.0,0.015625,1.0,1.0,0.25,0.0,0.0,0.0,6.25,1.0,0.25,0.0,0.0,6.25,14.8225,16.0,0.0,0.0637690031629,/players/f/farmajo01.html,0
WAS,E,Glen Rice,1,1,1.0,0.2222222222222222,0.636363636364,0,4.06666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.3,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/players/r/ricegl02.html,0
CHI,E,Nazr Mohammed,4,0,0.0,0.6666666666666666,0.48446969697,0,12.7083333333,0.5,2.0,0.08325,0.0,0.0,0.0,0.25,0.5,0.125,2.25,3.0,5.25,0.0,0.5,0.25,0.5,1.0,1.25,2.2,-1.75,0.0,47.8045138889,0.75,5.5,0.0207916875,0.0,0.0,0.0,0.1875,0.75,0.046875,5.1875,6.5,23.1875,0.0,0.75,0.1875,0.75,1.0,2.6875,6.1,128.6875,0.0,0.0756202651515,/players/m/mohamna01.html,0
LAL,W,Nick Young,2,2,1.0,0.4166666666666667,0.474747474747,0,29.9916666667,5.0,13.0,0.37,2.0,5.5,0.3395,2.0,2.5,0.4,0.5,1.0,1.5,1.0,1.5,0.5,0.0,2.5,14.0,8.9,13.5,0.0,2.325625,4.0,4.0,0.009409,1.0,2.25,0.00801025,4.0,6.25,0.16,0.25,0.0,0.25,1.0,0.25,0.25,0.0,0.25,49.0,26.01,2.25,0.0,0.0637690031629,/players/y/youngni01.html,0
