name,ranker,game_season,date_game,age,team_id,game_location,opp_id,game_result,college_name,games_started,minutes_played,field_goals,field_goal_attempts,field_goal_pct,three_point_field_goals,three_point_field_goal_attempts,three_point_field_goal_pct,free_throws,free_throw_attempts,free_throw_pct,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,game_score,plus_minus,daily_fantasy_sports_points,uri
Marcus Thornton,1,1,2011-12-26,24-204,SAC,,LAL,W (+9),,1,35:58,9,13,.692,4,7,.571,5,5,1.000,0,5,5,3,1,0,3,2,27,22.3,+2,,/players/t/thornma01.html
Marcus Thornton,2,2,2011-12-27,24-205,SAC,@,POR,L (-22),,1,35:26,5,15,.333,1,5,.200,3,4,.750,0,0,0,3,0,0,2,1,14,4.8,-14,,/players/t/thornma01.html
Marcus Thornton,3,3,2011-12-29,24-207,SAC,,CHI,L (-10),,1,40:16,8,17,.471,4,6,.667,0,2,.000,2,3,5,1,2,0,3,1,20,12.1,-11,,/players/t/thornma01.html
Marcus Thornton,4,4,2011-12-31,24-209,SAC,,NYK,L (-22),,1,37:17,5,13,.385,2,6,.333,2,3,.667,3,2,5,1,3,0,3,2,14,9.1,-18,,/players/t/thornma01.html
Marcus Thornton,5,5,2012-01-01,24-210,SAC,,NOH,W (+16),,1,35:07,9,18,.500,1,5,.200,6,7,.857,3,3,6,1,5,0,1,2,25,22.5,+23,,/players/t/thornma01.html
Marcus Thornton,6,6,2012-01-03,24-212,SAC,@,MEM,L (-17),,1,24:07,2,7,.286,1,2,.500,0,0,,0,1,1,1,0,0,1,2,5,0.1,-19,,/players/t/thornma01.html
Marcus Thornton,7,7,2012-01-04,24-213,SAC,@,DEN,L (-27),,1,33:31,8,20,.400,1,5,.200,6,6,1.000,4,0,4,0,1,1,0,0,23,16.7,-15,,/players/t/thornma01.html
Marcus Thornton,8,8,2012-01-05,24-214,SAC,,MIL,W (+3),,1,42:25,10,23,.435,2,6,.333,5,5,1.000,3,2,5,3,2,0,4,3,27,16.5,+9,,/players/t/thornma01.html
Marcus Thornton,9,9,2012-01-08,24-217,SAC,,ORL,L (-7),,1,38:35,5,16,.313,3,9,.333,0,0,,1,5,6,0,0,0,0,6,13,3.6,-4,,/players/t/thornma01.html
Marcus Thornton,10,10,2012-01-14,24-223,SAC,@,DAL,L (-39),,1,32:35,4,14,.286,1,7,.143,5,5,1.000,0,1,1,1,2,0,3,2,14,5.0,-20,,/players/t/thornma01.html
Marcus Thornton,11,11,2012-01-16,24-225,SAC,@,MIN,L (-13),,1,37:24,4,12,.333,2,5,.400,2,2,1.000,1,3,4,3,3,0,3,1,12,8.5,-20,,/players/t/thornma01.html
Marcus Thornton,12,12,2012-01-18,24-227,SAC,,IND,W (+4),,1,37:11,5,17,.294,3,10,.300,4,4,1.000,3,1,4,3,2,0,4,5,17,7.6,+3,,/players/t/thornma01.html
Marcus Thornton,13,13,2012-01-20,24-229,SAC,@,SAS,W (+2),,1,39:35,7,17,.412,1,6,.167,2,2,1.000,0,3,3,4,0,1,5,4,17,5.7,+17,,/players/t/thornma01.html
Marcus Thornton,14,14,2012-01-21,24-230,SAC,@,MEM,L (-33),,1,13:04,1,5,.200,0,1,.000,0,0,,0,1,1,1,0,0,0,1,2,-0.5,-16,,/players/t/thornma01.html
Marcus Thornton,15,15,2012-02-02,24-242,SAC,,POR,W (+3),,1,41:22,4,13,.308,2,7,.286,10,12,.833,0,1,1,3,2,1,2,2,20,14.0,+4,,/players/t/thornma01.html
Marcus Thornton,16,16,2012-02-04,24-244,SAC,,GSW,W (+8),,1,46:43,11,24,.458,4,11,.364,2,2,1.000,1,1,2,3,1,0,2,3,28,16.5,+8,,/players/t/thornma01.html
