name,ranker,game_season,date_game,age,team_id,game_location,opp_id,game_result,college_name,games_started,minutes_played,field_goals,field_goal_attempts,field_goal_pct,three_point_field_goals,three_point_field_goal_attempts,three_point_field_goal_pct,free_throws,free_throw_attempts,free_throw_pct,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,game_score,plus_minus,daily_fantasy_sports_points,uri
Matt Geiger,1,1,2001-10-30,32-050,PHI,@,MIN,L (-9),,0,12:00,0,2,.000,0,0,,0,0,,1,0,1,0,0,1,0,1,0,-0.4,-10,,/players/g/geigema01.html
Matt Geiger,2,2,2001-11-01,32-052,PHI,,DAL,L (-7),,0,11:00,1,4,.250,0,0,,1,2,.500,1,2,3,0,0,0,1,1,3,0.1,-7,,/players/g/geigema01.html
Matt Geiger,3,3,2001-11-03,32-054,PHI,@,WAS,L (-14),,0,6:00,0,1,.000,0,0,,0,0,,1,1,2,0,0,0,0,0,0,0.3,+1,,/players/g/geigema01.html
Matt Geiger,4,4,2001-11-06,32-057,PHI,,IND,L (-10),,0,7:00,0,1,.000,0,0,,0,0,,0,0,0,0,0,1,1,0,0,-1.0,-10,,/players/g/geigema01.html
Tony Delk,1,1,2001-10-30,27-275,PHO,,DEN,L (-3),,0,33:00,7,15,.467,2,6,.333,5,6,.833,0,5,5,6,1,0,2,4,21,16.0,+12,,/players/d/delkto01.html
Tony Delk,2,2,2001-11-01,27-277,PHO,@,GSW,W (+6),,0,6:00,1,3,.333,0,1,.000,1,1,1.000,0,0,0,0,0,0,0,0,3,1.3,-5,,/players/d/delkto01.html
Tony Delk,3,3,2001-11-06,27-282,PHO,,MEM,W (+12),,0,18:00,5,8,.625,1,4,.250,0,0,,0,2,2,4,2,0,2,1,11,10.4,+4,,/players/d/delkto01.html
Tony Delk,4,4,2001-11-08,27-284,PHO,,ATL,W (+28),,0,22:00,6,14,.429,3,5,.600,0,0,,1,4,5,5,1,0,2,1,15,11.6,+8,,/players/d/delkto01.html
Tony Delk,5,5,2001-11-10,27-286,PHO,@,LAC,L (-9),,0,28:00,4,11,.364,3,7,.429,0,0,,0,2,2,3,0,1,1,1,11,6.9,-9,,/players/d/delkto01.html
Tony Delk,6,6,2001-11-13,27-289,PHO,@,SEA,W (+1),,0,20:00,2,9,.222,0,3,.000,1,1,1.000,0,3,3,2,2,0,0,3,5,2.6,+1,,/players/d/delkto01.html
Tony Delk,7,7,2001-11-14,27-290,PHO,,ORL,L (-1),,0,23:00,0,5,.000,0,2,.000,3,4,.750,0,0,0,3,0,0,2,0,3,-0.8,-6,,/players/d/delkto01.html
Tony Delk,8,8,2001-11-23,27-299,PHO,@,MEM,W (+14),,0,29:00,9,15,.600,1,5,.200,4,4,1.000,0,5,5,1,1,1,0,3,23,18.8,+12,,/players/d/delkto01.html
Tony Delk,9,9,2001-11-24,27-300,PHO,@,DAL,L (-15),,0,9:00,0,2,.000,0,1,.000,0,0,,0,1,1,2,0,0,0,1,0,-0.1,+7,,/players/d/delkto01.html
Tony Delk,10,10,2001-11-26,27-302,PHO,@,UTA,W (+7),,0,21:00,6,11,.545,2,4,.500,0,1,.000,0,2,2,2,2,0,1,2,14,10.5,+6,,/players/d/delkto01.html
Tony Delk,11,11,2001-11-28,27-304,PHO,,MIL,W (+20),,0,8:00,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,1,0,2,0.0,+6,,/players/d/delkto01.html
Tony Delk,12,12,2001-12-05,27-311,PHO,@,NJN,L (-19),,0,25:00,5,13,.385,2,6,.333,2,2,1.000,0,3,3,1,0,0,0,1,14,8.1,-4,,/players/d/delkto01.html
Tony Delk,13,13,2001-12-07,27-313,PHO,@,BOS,L (-7),,0,31:00,9,15,.600,1,4,.250,1,1,1.000,2,0,2,1,1,0,0,4,20,14.6,-5,,/players/d/delkto01.html
Tony Delk,14,14,2001-12-09,27-315,PHO,@,TOR,W (+1),,0,20:00,1,8,.125,0,1,.000,1,1,1.000,3,1,4,3,0,0,0,0,3,2.3,-5,,/players/d/delkto01.html
Tony Delk,15,15,2001-12-12,27-318,PHO,,SAC,W (+26),,0,31:00,8,16,.500,2,4,.500,3,3,1.000,2,3,5,3,1,1,2,2,21,16.3,+19,,/players/d/delkto01.html
Tony Delk,16,16,2001-12-14,27-320,PHO,,SAS,L (-12),,0,26:00,2,8,.250,0,3,.000,0,0,,1,0,1,1,0,0,2,1,4,-1.8,-1,,/players/d/delkto01.html
Tony Delk,17,17,2001-12-15,27-321,PHO,@,DEN,L (-8),,0,16:00,5,8,.625,0,1,.000,3,3,1.000,0,7,7,1,1,0,2,1,13,10.8,+8,,/players/d/delkto01.html
Tony Delk,18,18,2001-12-18,27-324,PHO,,LAC,L (-4),,0,21:00,5,13,.385,2,6,.333,0,0,,1,1,2,0,2,0,0,0,12,7.9,+3,,/players/d/delkto01.html
Tony Delk,19,19,2001-12-22,27-328,PHO,,POR,W (+12),,0,29:00,9,14,.643,3,7,.429,6,8,.750,5,7,12,5,1,0,0,1,27,29.7,+29,,/players/d/delkto01.html
Tony Delk,20,20,2001-12-23,27-329,PHO,@,SAC,L (-32),,0,26:00,8,19,.421,4,7,.571,4,4,1.000,2,1,3,1,1,0,1,3,24,15.1,-10,,/players/d/delkto01.html
Tony Delk,21,21,2001-12-26,27-332,PHO,@,HOU,W (+6),,0,3:00,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.0,-1,,/players/d/delkto01.html
Tony Delk,22,22,2002-01-04,27-341,PHO,@,LAL,L (-32),,0,28:00,7,17,.412,1,5,.200,2,2,1.000,2,1,3,5,0,0,3,0,17,10.1,-21,,/players/d/delkto01.html
Tony Delk,23,23,2002-01-05,27-342,PHO,,SAC,L (-6),,0,26:00,5,10,.500,0,1,.000,1,1,1.000,1,5,6,2,3,0,3,2,11,8.8,+5,,/players/d/delkto01.html
