name,ranker,game_season,date_game,age,team_id,game_location,opp_id,game_result,college_name,games_started,minutes_played,field_goals,field_goal_attempts,field_goal_pct,three_point_field_goals,three_point_field_goal_attempts,three_point_field_goal_pct,free_throws,free_throw_attempts,free_throw_pct,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,game_score,plus_minus,daily_fantasy_sports_points,uri
Eric Snow,1,1,2003-10-28,30-187,PHI,,MIA,W (+15),,1,31:00,0,5,.000,0,1,.000,1,2,.500,2,2,4,6,1,0,1,2,1,2.5,+11,,/players/s/snower01.html
Eric Snow,2,2,2003-10-31,30-190,PHI,@,SAC,L (-11),,1,35:00,2,8,.250,0,0,,9,10,.900,1,3,4,5,0,0,0,3,13,11.7,-11,,/players/s/snower01.html
Eric Snow,3,3,2003-11-01,30-191,PHI,@,GSW,L (-14),,1,37:00,8,15,.533,0,0,,1,1,1.000,1,1,2,6,1,0,1,1,17,14.5,-14,,/players/s/snower01.html
Eric Snow,4,4,2003-11-03,30-193,PHI,@,POR,W (+11),,1,36:00,2,4,.500,0,0,,4,6,.667,0,2,2,4,4,0,2,2,8,9.8,+9,,/players/s/snower01.html
Eric Snow,5,5,2003-11-05,30-195,PHI,,NOH,L (-7),,1,38:00,5,11,.455,1,1,1.000,0,0,,1,3,4,12,1,0,3,5,11,11.3,+10,,/players/s/snower01.html
Eric Snow,6,6,2003-11-07,30-197,PHI,@,CHI,W (+21),,1,32:00,2,8,.250,0,2,.000,2,4,.500,1,3,4,7,0,0,4,3,6,1.7,+1,,/players/s/snower01.html
Eric Snow,7,7,2003-11-09,30-199,PHI,,IND,L (-11),,1,36:00,2,8,.250,0,1,.000,3,3,1.000,0,3,3,5,3,0,3,3,7,5.4,-15,,/players/s/snower01.html
Eric Snow,8,8,2003-11-11,30-201,PHI,@,WAS,W (+7),,1,37:00,4,11,.364,0,0,,5,6,.833,2,3,5,11,4,0,4,3,13,15.3,+12,,/players/s/snower01.html
Eric Snow,9,9,2003-11-14,30-204,PHI,,SAS,W (+4),,1,29:00,3,6,.500,0,0,,3,5,.600,0,4,4,2,2,0,1,5,9,6.8,-2,,/players/s/snower01.html
Eric Snow,10,10,2003-11-15,30-205,PHI,@,CLE,L (-3),,1,45:00,3,15,.200,0,1,.000,6,8,.750,0,3,3,6,2,0,2,3,12,5.8,-1,,/players/s/snower01.html
Eric Snow,11,11,2003-11-17,30-207,PHI,,HOU,L (-8),,1,32:00,3,10,.300,0,0,,2,2,1.000,0,4,4,5,4,0,1,1,8,9.5,-6,,/players/s/snower01.html
Eric Snow,12,12,2003-11-19,30-209,PHI,@,TOR,W (+6),,1,43:00,6,16,.375,0,0,,6,8,.750,2,4,6,8,0,0,0,3,18,15.4,+4,,/players/s/snower01.html
Eric Snow,13,13,2003-11-21,30-211,PHI,,BOS,W (+2),,1,38:00,3,9,.333,0,0,,0,0,,0,1,1,4,1,0,0,3,6,3.8,-9,,/players/s/snower01.html
Eric Snow,14,14,2003-11-22,30-212,PHI,@,NYK,L (-11),,1,34:00,3,9,.333,0,0,,8,8,1.000,2,3,5,8,1,0,1,1,14,16.4,-6,,/players/s/snower01.html
Eric Snow,15,15,2003-11-25,30-215,PHI,@,MIL,L (-4),,1,33:00,3,7,.429,0,0,,2,3,.667,0,4,4,6,0,1,1,5,8,7.0,+8,,/players/s/snower01.html
Eric Snow,16,16,2003-11-26,30-216,PHI,,DET,W (+4),,1,34:00,5,14,.357,0,0,,3,5,.600,0,2,2,8,2,0,1,5,13,9.6,+2,,/players/s/snower01.html
Eric Snow,17,17,2003-11-28,30-218,PHI,@,IND,L (-13),,1,36:00,4,8,.500,0,0,,4,4,1.000,1,2,3,10,2,0,1,3,12,16.1,-12,,/players/s/snower01.html
Eric Snow,18,18,2003-11-29,30-219,PHI,,ATL,W (+12),,1,35:00,3,6,.500,0,0,,0,0,,0,2,2,9,0,0,2,1,6,7.5,+6,,/players/s/snower01.html
Eric Snow,19,19,2003-12-02,30-222,PHI,,TOR,L (-7),,1,39:00,2,6,.333,0,0,,0,0,,2,2,4,5,0,0,1,3,4,3.9,-2,,/players/s/snower01.html
Eric Snow,20,20,2003-12-04,30-224,PHI,,CHI,W (+1),,1,40:00,3,8,.375,0,0,,3,3,1.000,1,2,3,5,2,0,3,3,9,7.2,-1,,/players/s/snower01.html
Eric Snow,21,21,2003-12-05,30-225,PHI,@,MIA,W (+3),,1,38:00,3,8,.375,0,0,,1,4,.250,1,1,2,5,0,0,4,3,7,0.7,+5,,/players/s/snower01.html
Eric Snow,22,22,2003-12-09,30-229,PHI,@,DET,W (+2),,1,39:00,8,16,.500,0,0,,1,2,.500,0,3,3,7,3,0,4,2,17,12.6,+3,,/players/s/snower01.html
