team,date,count,win,loss,cur_count,cur_win,cur_loss
CLE,2012-01-01,4,2,2,4,2,2
CLE,2012-01-08,8,4,4,4,2,2
CLE,2012-01-15,11,5,6,3,1,2
CLE,2012-01-22,15,6,9,4,1,3
CLE,2012-01-29,19,8,11,4,2,2
CLE,2012-02-05,22,9,13,3,1,2
CLE,2012-02-12,26,10,16,4,1,3
CLE,2012-02-19,29,12,17,3,2,1
CLE,2012-03-04,35,13,22,6,1,5
CLE,2012-03-11,39,16,23,4,3,1
CLE,2012-03-18,42,16,26,3,0,3
CLE,2012-03-25,46,17,29,4,1,3
CLE,2012-04-01,50,17,33,4,0,4
CLE,2012-04-08,54,18,36,4,1,3
CLE,2012-04-15,59,20,39,5,2,3
CLE,2012-04-22,66,21,45,7,1,6
CHI,2012-01-01,5,4,1,5,4,1
CHI,2012-01-08,9,7,2,4,3,1
CHI,2012-01-15,14,12,2,5,5,0
CHI,2012-01-22,18,15,3,4,3,1
CHI,2012-01-29,22,17,5,4,2,2
CHI,2012-02-05,26,20,6,4,3,1
CHI,2012-02-12,30,23,7,4,3,1
CHI,2012-02-19,33,25,8,3,2,1
CHI,2012-03-04,39,31,8,6,6,0
CHI,2012-03-11,43,34,9,4,3,1
CHI,2012-03-18,47,37,10,4,3,1
CHI,2012-03-25,50,40,10,3,3,0
CHI,2012-04-01,54,42,12,4,2,2
CHI,2012-04-08,57,43,14,3,1,2
CHI,2012-04-15,60,46,14,3,3,0
CHI,2012-04-22,66,50,16,6,4,2
DET,2012-01-01,4,1,3,4,1,3
DET,2012-01-08,8,2,6,4,1,3
DET,2012-01-15,13,3,10,5,1,4
DET,2012-01-22,17,4,13,4,1,3
DET,2012-01-29,21,4,17,4,0,4
DET,2012-02-05,26,6,20,5,2,3
DET,2012-02-12,29,8,21,3,2,1
DET,2012-02-19,33,11,22,4,3,1
DET,2012-03-04,38,12,26,5,1,4
DET,2012-03-11,41,15,26,3,3,0
DET,2012-03-18,45,16,29,4,1,3
DET,2012-03-25,48,16,32,3,0,3
DET,2012-04-01,52,19,33,4,3,1
DET,2012-04-08,56,21,35,4,2,2
DET,2012-04-15,60,22,38,4,1,3
DET,2012-04-22,66,25,41,6,3,3
POR,2012-01-01,4,3,1,4,3,1
POR,2012-01-08,8,6,2,4,3,1
POR,2012-01-15,12,7,5,4,1,3
POR,2012-01-22,16,9,7,4,2,2
POR,2012-01-29,20,12,8,4,3,1
POR,2012-02-05,24,14,10,4,2,2
POR,2012-02-12,28,15,13,4,1,3
POR,2012-02-19,32,17,15,4,2,2
POR,2012-03-04,37,18,19,5,1,4
POR,2012-03-11,41,20,21,4,2,2
POR,2012-03-18,45,21,24,4,1,3
POR,2012-03-25,49,23,26,4,2,2
POR,2012-04-01,53,25,28,4,2,2
POR,2012-04-08,57,27,30,4,2,2
POR,2012-04-15,61,28,33,4,1,3
POR,2012-04-22,66,28,38,5,0,5
IND,2012-01-01,4,3,1,4,3,1
IND,2012-01-08,8,6,2,4,3,1
IND,2012-01-15,12,9,3,4,3,1
IND,2012-01-22,15,11,4,3,2,1
IND,2012-01-29,19,13,6,4,2,2
IND,2012-02-05,23,16,7,4,3,1
IND,2012-02-12,27,17,10,4,1,3
IND,2012-02-19,31,19,12,4,2,2
IND,2012-03-04,35,23,12,4,4,0
