team,date,count,win,loss,cur_count,cur_win,cur_loss
LAC,2015-11-02,4,4,0,4,4,0
LAC,2015-11-09,7,5,2,3,1,2
LAC,2015-11-16,10,6,4,3,1,2
LAC,2015-11-23,13,6,7,3,0,3
LAC,2015-11-30,18,10,8,5,4,1
LAC,2015-12-07,21,12,9,3,2,1
LAC,2015-12-14,25,15,10,4,3,1
LAC,2015-12-21,29,16,13,4,1,3
LAC,2015-12-28,32,19,13,3,3,0
LAC,2016-01-04,35,22,13,3,3,0
LAC,2016-01-11,38,25,13,3,3,0
LAC,2016-01-18,41,27,14,3,2,1
LAC,2016-01-25,44,28,16,3,1,2
LAC,2016-02-01,48,32,16,4,4,0
LAC,2016-02-08,52,35,17,4,3,1
LAC,2016-02-29,59,39,20,7,4,3
LAC,2016-03-07,62,41,21,3,2,1
LAC,2016-03-14,65,42,23,3,1,2
LAC,2016-03-21,69,43,26,4,1,3
LAC,2016-03-28,73,46,27,4,3,1
LAC,2016-04-04,76,48,28,3,2,1
LAC,2016-04-11,82,53,29,6,5,1
PHI,2015-11-02,3,0,3,3,0,3
PHI,2015-11-09,7,0,7,4,0,4
PHI,2015-11-16,11,0,11,4,0,4
PHI,2015-11-23,15,0,15,4,0,4
PHI,2015-11-30,18,0,18,3,0,3
PHI,2015-12-07,22,1,21,4,1,3
PHI,2015-12-14,26,1,25,4,0,4
PHI,2015-12-21,29,1,28,3,0,3
PHI,2015-12-28,33,2,31,4,1,3
PHI,2016-01-04,37,4,33,4,2,2
PHI,2016-01-11,40,4,36,3,0,3
PHI,2016-01-18,43,5,38,3,1,2
PHI,2016-01-25,45,6,39,2,1,1
PHI,2016-02-01,48,7,41,3,1,2
PHI,2016-02-08,52,8,44,4,1,3
PHI,2016-02-29,60,8,52,8,0,8
PHI,2016-03-07,63,8,55,3,0,3
PHI,2016-03-14,66,9,57,3,1,2
PHI,2016-03-21,71,9,62,5,0,5
PHI,2016-03-28,74,9,65,3,0,3
PHI,2016-04-04,77,9,68,3,0,3
PHI,2016-04-11,82,10,72,5,1,4
DAL,2015-11-02,3,2,1,3,2,1
DAL,2015-11-09,6,3,3,3,1,2
DAL,2015-11-16,11,7,4,5,4,1
DAL,2015-11-23,14,9,5,3,2,1
DAL,2015-11-30,18,10,8,4,1,3
DAL,2015-12-07,22,13,9,4,3,1
DAL,2015-12-14,25,14,11,3,1,2
DAL,2015-12-21,27,15,12,2,1,1
DAL,2015-12-28,31,18,13,4,3,1
DAL,2016-01-04,34,19,15,3,1,2
DAL,2016-01-11,38,22,16,4,3,1
DAL,2016-01-18,43,24,19,5,2,3
DAL,2016-01-25,46,25,21,3,1,2
DAL,2016-02-01,51,28,23,5,3,2
DAL,2016-02-08,54,29,25,3,1,2
DAL,2016-02-29,60,32,28,6,3,3
DAL,2016-03-07,64,33,31,4,1,3
DAL,2016-03-14,67,34,33,3,1,2
DAL,2016-03-21,70,35,35,3,1,2
DAL,2016-03-28,74,36,38,4,1,3
DAL,2016-04-04,77,39,38,3,3,0
DAL,2016-04-11,82,42,40,5,3,2
