team,date,count,win,loss,cur_count,cur_win,cur_loss
TOR,2007-11-04,3,2,1,3,2,1
TOR,2007-11-11,7,4,3,4,2,2
TOR,2007-11-18,10,5,5,3,1,2
TOR,2007-11-25,14,7,7,4,2,2
TOR,2007-12-02,17,9,8,3,2,1
TOR,2007-12-09,21,11,10,4,2,2
TOR,2007-12-16,25,14,11,4,3,1
TOR,2007-12-23,29,15,14,4,1,3
TOR,2007-12-30,31,16,15,2,1,1
TOR,2008-01-06,34,17,17,3,1,2
TOR,2008-01-13,37,20,17,3,3,0
TOR,2008-01-20,41,22,19,4,2,2
TOR,2008-01-27,43,24,19,2,2,0
TOR,2008-02-03,46,25,21,3,1,2
TOR,2008-02-10,49,27,22,3,2,1
TOR,2008-02-24,54,30,24,5,3,2
TOR,2008-03-02,58,32,26,4,2,2
TOR,2008-03-09,62,34,28,4,2,2
TOR,2008-03-16,66,34,32,4,0,4
TOR,2008-03-23,70,35,35,4,1,3
TOR,2008-03-30,73,37,36,3,2,1
TOR,2008-04-06,77,38,39,4,1,3
TOR,2008-04-13,82,41,41,5,3,2
CLE,2007-11-04,3,1,2,3,1,2
CLE,2007-11-11,7,4,3,4,3,1
CLE,2007-11-18,10,5,5,3,1,2
CLE,2007-11-25,14,8,6,4,3,1
CLE,2007-12-02,18,9,9,4,1,3
CLE,2007-12-09,21,9,12,3,0,3
CLE,2007-12-16,24,10,14,3,1,2
CLE,2007-12-23,28,12,16,4,2,2
CLE,2007-12-30,31,14,17,3,2,1
CLE,2008-01-06,34,17,17,3,3,0
CLE,2008-01-13,37,19,18,3,2,1
CLE,2008-01-20,39,21,18,2,2,0
CLE,2008-01-27,43,24,19,4,3,1
CLE,2008-02-03,46,26,20,3,2,1
CLE,2008-02-10,50,28,22,4,2,2
CLE,2008-02-24,56,32,24,6,4,2
CLE,2008-03-02,60,34,26,4,2,2
CLE,2008-03-09,63,36,27,3,2,1
CLE,2008-03-16,67,38,29,4,2,2
CLE,2008-03-23,71,40,31,4,2,2
CLE,2008-03-30,74,41,33,3,1,2
CLE,2008-04-06,77,42,35,3,1,2
CLE,2008-04-13,82,45,37,5,3,2
ATL,2007-11-04,2,1,1,2,1,1
ATL,2007-11-11,6,2,4,4,1,3
ATL,2007-11-18,9,3,6,3,1,2
ATL,2007-11-25,12,5,7,3,2,1
ATL,2007-12-02,15,6,9,3,1,2
ATL,2007-12-09,19,9,10,4,3,1
ATL,2007-12-16,23,11,12,4,2,2
ATL,2007-12-23,26,14,12,3,3,0
ATL,2007-12-30,28,15,13,2,1,1
ATL,2008-01-06,31,15,16,3,0,3
ATL,2008-01-13,34,17,17,3,2,1
ATL,2008-01-20,37,18,19,3,1,2
ATL,2008-01-27,41,19,22,4,1,3
ATL,2008-02-03,44,20,24,3,1,2
ATL,2008-02-10,48,22,26,4,2,2
ATL,2008-02-24,54,23,31,6,1,5
