team,date,count,win,loss,cur_count,cur_win,cur_loss
NOH,2008-11-02,3,3,0,3,3,0
NOH,2008-11-09,6,4,2,3,1,2
NOH,2008-11-16,9,5,4,3,1,2
NOH,2008-11-23,12,7,5,3,2,1
NOH,2008-11-30,15,9,6,3,2,1
NOH,2008-12-07,17,11,6,2,2,0
NOH,2008-12-14,20,13,7,3,2,1
NOH,2008-12-21,23,16,7,3,3,0
NOH,2008-12-28,27,18,9,4,2,2
NOH,2009-01-04,30,20,10,3,2,1
NOH,2009-01-11,33,22,11,3,2,1
NOH,2009-01-18,37,24,13,4,2,2
NOH,2009-01-25,40,26,14,3,2,1
NOH,2009-02-01,44,28,16,4,2,2
NOH,2009-02-08,48,30,18,4,2,2
NOH,2009-02-22,54,32,22,6,2,4
NOH,2009-03-01,58,36,22,4,4,0
NOH,2009-03-08,61,39,22,3,3,0
NOH,2009-03-15,65,41,24,4,2,2
NOH,2009-03-22,69,44,25,4,3,1
NOH,2009-03-29,72,45,27,3,1,2
NOH,2009-04-05,76,47,29,4,2,2
NOH,2009-04-12,82,49,33,6,2,4
NJN,2008-11-02,2,1,1,2,1,1
NJN,2008-11-09,5,2,3,3,1,2
NJN,2008-11-16,9,4,5,4,2,2
NJN,2008-11-23,12,6,6,3,2,1
NJN,2008-11-30,16,9,7,4,3,1
NJN,2008-12-07,19,11,8,3,2,1
NJN,2008-12-14,22,11,11,3,0,3
NJN,2008-12-21,26,13,13,4,2,2
NJN,2008-12-28,30,15,15,4,2,2
NJN,2009-01-04,34,16,18,4,1,3
NJN,2009-01-11,37,18,19,3,2,1
NJN,2009-01-18,41,19,22,4,1,3
NJN,2009-01-25,44,20,24,3,1,2
NJN,2009-02-01,48,21,27,4,1,3
NJN,2009-02-08,52,24,28,4,3,1
NJN,2009-02-22,56,24,32,4,0,4
NJN,2009-03-01,59,26,33,3,2,1
NJN,2009-03-08,63,28,35,4,2,2
NJN,2009-03-15,66,28,38,3,0,3
NJN,2009-03-22,70,30,40,4,2,2
NJN,2009-03-29,73,30,43,3,0,3
NJN,2009-04-05,77,32,45,4,2,2
NJN,2009-04-12,82,34,48,5,2,3
OKC,2008-11-02,3,1,2,3,1,2
OKC,2008-11-09,6,1,5,3,0,3
OKC,2008-11-16,10,1,9,4,0,4
OKC,2008-11-23,14,1,13,4,0,4
OKC,2008-11-30,18,2,16,4,1,3
OKC,2008-12-07,21,2,19,3,0,3
OKC,2008-12-14,25,2,23,4,0,4
OKC,2008-12-21,28,3,25,3,1,2
OKC,2008-12-28,31,3,28,3,0,3
OKC,2009-01-04,34,4,30,3,1,2
OKC,2009-01-11,38,6,32,4,2,2
OKC,2009-01-18,42,8,34,4,2,2
OKC,2009-01-25,44,9,35,2,1,1
OKC,2009-02-01,48,11,37,4,2,2
OKC,2009-02-08,51,13,38,3,2,1
OKC,2009-02-22,56,13,43,5,0,5
OKC,2009-03-01,59,14,45,3,1,2
