name,team,short_team,number,pos,height,weight,birth_date,birth_country,years_experience,college_name,uri
Jason Collins,Atlanta Hawks,ATL,34,C,7-0,255,"December 2, 1978",us,10,Stanford University,/players/c/collija04.html
Erick Dampier,Atlanta Hawks,ATL,25,C,6-11,265,"July 14, 1975",us,15,Mississippi State University,/players/d/dampier01.html
Willie Green,Atlanta Hawks,ATL,33,SG,6-4,200,"July 28, 1981",us,8,University of Detroit Mercy,/players/g/greenwi01.html
Kirk Hinrich,Atlanta Hawks,ATL,6,SG,6-4,190,"January 2, 1981",us,8,University of Kansas,/players/h/hinriki01.html
Al Horford,Atlanta Hawks,ATL,15,C,6-10,245,"June 3, 1986",do,4,University of Florida,/players/h/horfoal01.html
Ivan Johnson,Atlanta Hawks,ATL,44,PF,6-8,230,"April 10, 1984",us,R,University of Oregon,/players/j/johnsiv01.html
Joe Johnson,Atlanta Hawks,ATL,2,SG,6-7,240,"June 29, 1981",us,10,University of Arkansas,/players/j/johnsjo02.html
Tracy McGrady,Atlanta Hawks,ATL,1,SF,6-8,210,"May 24, 1979",us,14,,/players/m/mcgratr01.html
Zaza Pachulia,Atlanta Hawks,ATL,27,C,6-11,270,"February 10, 1984",ge,8,,/players/p/pachuza01.html
Jannero Pargo,Atlanta Hawks,ATL,7,PG,6-1,175,"October 22, 1979",us,7,University of Arkansas,/players/p/pargoja01.html
Vladimir Radmanovic,Atlanta Hawks,ATL,77,SF,6-10,227,"November 19, 1980",ba,10,,/players/r/radmavl01.html
Donald Sloan,Atlanta Hawks,ATL,12,PG,6-3,205,"January 15, 1988",us,R,Texas A&M University,/players/s/sloando01.html
Josh Smith,Atlanta Hawks,ATL,5,PF,6-9,225,"December 5, 1985",us,7,,/players/s/smithjo03.html
Jerry Stackhouse,Atlanta Hawks,ATL,42,SF,6-6,218,"November 5, 1974",us,16,University of North Carolina,/players/s/stackje01.html
Jeff Teague,Atlanta Hawks,ATL,0,PG,6-2,186,"June 10, 1988",us,2,Wake Forest University,/players/t/teaguje01.html
Marvin Williams,Atlanta Hawks,ATL,24,SF,6-9,237,"June 19, 1986",us,6,University of North Carolina,/players/w/willima02.html
Ray Allen,Boston Celtics,BOS,20,SG,6-5,205,"July 20, 1975",us,15,University of Connecticut,/players/a/allenra02.html
Brandon Bass,Boston Celtics,BOS,30,PF,6-8,250,"April 30, 1985",us,6,Louisiana State University,/players/b/bassbr01.html
Avery Bradley,Boston Celtics,BOS,0,PG,6-2,180,"November 26, 1990",us,1,University of Texas at Austin,/players/b/bradlav01.html
Marquis Daniels,Boston Celtics,BOS,4,SG,6-6,200,"January 7, 1981",us,8,Auburn University,/players/d/daniema01.html
Keyon Dooling,Boston Celtics,BOS,51,SG,6-3,196,"May 8, 1980",us,11,University of Missouri,/players/d/doolike01.html
Kevin Garnett,Boston Celtics,BOS,5,C,6-11,240,"May 19, 1976",us,16,,/players/g/garneke01.html
Ryan Hollins,Boston Celtics,BOS,50,C,7-0,240,"October 10, 1984",us,5,"University of California, Los Angeles",/players/h/holliry01.html
JaJuan Johnson,Boston Celtics,BOS,12,PF,6-10,221,"February 8, 1989",us,R,Purdue University,/players/j/johnsja02.html
E'Twaun Moore,Boston Celtics,BOS,55,PG,6-4,191,"February 28, 1989",us,R,Purdue University,/players/m/mooreet01.html
Jermaine O'Neal,Boston Celtics,BOS,7,C,6-11,226,"October 13, 1978",us,15,,/players/o/onealje01.html
Sasha Pavlovic,Boston Celtics,BOS,11,SF,6-8,220,"November 15, 1983",me,8,,/players/p/pavloal01.html
Paul Pierce,Boston Celtics,BOS,34,SF,6-7,235,"October 13, 1977",us,13,University of Kansas,/players/p/piercpa01.html
Mickael Pietrus,Boston Celtics,BOS,28,SG,6-6,215,"February 7, 1982",gp,8,,/players/p/pietrmi01.html
Rajon Rondo,Boston Celtics,BOS,9,PG,6-1,186,"February 22, 1986",us,5,University of Kentucky,/players/r/rondora01.html
Greg Stiemsma,Boston Celtics,BOS,54,C,6-11,260,"September 26, 1985",us,R,University of Wisconsin,/players/s/stiemgr01.html
Chris Wilcox,Boston Celtics,BOS,44,C,6-10,221,"September 3, 1982",us,9,University of Maryland,/players/w/wilcoch01.html
Sean Williams,Boston Celtics,BOS,56,C,6-10,235,"September 13, 1986",us,3,Boston College,/players/w/willise01.html
Keith Bogans,Brooklyn Nets,NJN,6,SF,6-5,215,"May 12, 1980",us,8,University of Kentucky,/players/b/boganke01.html
MarShon Brooks,Brooklyn Nets,NJN,9,SG,6-5,200,"January 26, 1989",us,R,Providence College,/players/b/brookma01.html
Andre Emmett,Brooklyn Nets,NJN,14,SF,6-5,230,"August 27, 1982",us,1,Texas Tech University,/players/e/emmetan01.html
Jordan Farmar,Brooklyn Nets,NJN,2,PG,6-2,180,"November 30, 1986",us,5,"University of California, Los Angeles",/players/f/farmajo01.html
Sundiata Gaines,Brooklyn Nets,NJN,1,SG,6-1,185,"April 18, 1986",us,2,University of Georgia,/players/g/gainesu01.html
Gerald Green,Brooklyn Nets,NJN,14,SF,6-7,205,"January 26, 1986",us,4,,/players/g/greenge01.html
Dennis Horner,Brooklyn Nets,NJN,31,PF,6-9,230,"February 5, 1988",us,R,North Carolina State University,/players/h/hornede01.html
Kris Humphries,Brooklyn Nets,NJN,43,PF,6-9,235,"February 6, 1985",us,7,University of Minnesota,/players/h/humphkr01.html
Damion James,Brooklyn Nets,NJN,10,SF,6-7,225,"October 7, 1987",us,1,University of Texas at Austin,/players/j/jamesda01.html
Armon Johnson,Brooklyn Nets,NJN,7,PG,6-3,195,"February 23, 1989",us,1,"University of Nevada, Reno",/players/j/johnsar02.html
Brook Lopez,Brooklyn Nets,NJN,11,C,7-0,275,"April 1, 1988",us,3,Stanford University,/players/l/lopezbr01.html
Anthony Morrow,Brooklyn Nets,NJN,22,SG,6-5,210,"September 27, 1985",us,3,Georgia Institute of Technology,/players/m/morroan01.html
Mehmet Okur,Brooklyn Nets,NJN,13,C,6-11,249,"May 26, 1979",tr,9,,/players/o/okurme01.html
Larry Owens,Brooklyn Nets,NJN,24,SF,6-7,210,"January 8, 1983",us,1,Oral Roberts University,/players/o/owensla01.html
Johan Petro,Brooklyn Nets,NJN,27,C,7-0,247,"January 27, 1986",fr,6,,/players/p/petrojo01.html
Jerry Smith,Brooklyn Nets,NJN,28,PG,6-2,190,"September 26, 1987",us,R,University of Louisville,/players/s/smithje01.html
DeShawn Stevenson,Brooklyn Nets,NJN,92,SF,6-5,210,"April 3, 1981",us,11,,/players/s/stevede01.html
Gerald Wallace,Brooklyn Nets,NJN,45,SF,6-7,215,"July 23, 1982",us,10,University of Alabama,/players/w/wallage01.html
Deron Williams,Brooklyn Nets,NJN,8,PG,6-3,200,"June 26, 1984",us,6,University of Illinois at Urbana-Champaign,/players/w/willide01.html
Jordan Williams,Brooklyn Nets,NJN,20,C,6-10,260,"October 11, 1990",us,R,University of Maryland,/players/w/willijo03.html
