name,team,short_team,number,pos,height,weight,birth_date,birth_country,years_experience,college_name,uri
Devin Harris,Atlanta Hawks,ATL,34,SG,6-3,192,"February 27, 1983",us,8,University of Wisconsin,/players/h/harride01.html
Al Horford,Atlanta Hawks,ATL,15,C,6-10,245,"June 3, 1986",do,5,University of Florida,/players/h/horfoal01.html
John Jenkins,Atlanta Hawks,ATL,12,SG,6-4,215,"March 6, 1991",us,R,Vanderbilt University,/players/j/jenkijo01.html
Ivan Johnson,Atlanta Hawks,ATL,44,PF,6-8,230,"April 10, 1984",us,1,University of Oregon,/players/j/johnsiv01.html
Dahntay Jones,Atlanta Hawks,ATL,30,SF,6-6,225,"December 27, 1980",us,9,Duke University,/players/j/jonesda02.html
Kyle Korver,Atlanta Hawks,ATL,26,SF,6-7,212,"March 17, 1981",us,9,Creighton University,/players/k/korveky01.html
Shelvin Mack,Atlanta Hawks,ATL,8,PG,6-3,203,"April 22, 1990",us,1,Butler University,/players/m/macksh01.html
Anthony Morrow,Atlanta Hawks,ATL,22,SG,6-5,210,"September 27, 1985",us,4,Georgia Institute of Technology,/players/m/morroan01.html
Zaza Pachulia,Atlanta Hawks,ATL,27,C,6-11,270,"February 10, 1984",ge,9,,/players/p/pachuza01.html
Jannero Pargo,Atlanta Hawks,ATL,7,PG,6-1,175,"October 22, 1979",us,8,University of Arkansas,/players/p/pargoja01.html
Johan Petro,Atlanta Hawks,ATL,10,C,7-0,247,"January 27, 1986",fr,7,,/players/p/petrojo01.html
Mike Scott,Atlanta Hawks,ATL,32,PF,6-8,237,"July 16, 1988",us,R,University of Virginia,/players/s/scottmi01.html
Josh Smith,Atlanta Hawks,ATL,5,PF,6-9,225,"December 5, 1985",us,8,,/players/s/smithjo03.html
DeShawn Stevenson,Atlanta Hawks,ATL,92,SG,6-5,210,"April 3, 1981",us,12,,/players/s/stevede01.html
Jeff Teague,Atlanta Hawks,ATL,0,PG,6-2,186,"June 10, 1988",us,3,Wake Forest University,/players/t/teaguje01.html
Anthony Tolliver,Atlanta Hawks,ATL,4,SF,6-8,240,"June 1, 1985",us,4,Creighton University,/players/t/tollian01.html
Jeremy Tyler,Atlanta Hawks,ATL,1,C,6-10,260,"June 21, 1991",us,1,,/players/t/tylerje01.html
Lou Williams,Atlanta Hawks,ATL,3,SG,6-1,175,"October 27, 1986",us,7,,/players/w/willilo02.html
Leandro Barbosa,Boston Celtics,BOS,12,PG,6-3,194,"November 28, 1982",br,9,,/players/b/barbole01.html
Brandon Bass,Boston Celtics,BOS,30,PF,6-8,250,"April 30, 1985",us,7,Louisiana State University,/players/b/bassbr01.html
