name,team,short_team,number,pos,height,weight,birth_date,birth_country,years_experience,college_name,uri
Pero Antic,Atlanta Hawks,ATL,6,PF,6-11,260,"July 29, 1982",mk,R,,/players/a/anticpe01.html
Gustavo Ayon,Atlanta Hawks,ATL,14,C,6-10,250,"April 1, 1985",mx,2,,/players/a/ayongu01.html
Elton Brand,Atlanta Hawks,ATL,42,C,6-8,275,"March 11, 1979",us,14,Duke University,/players/b/brandel01.html
DeMarre Carroll,Atlanta Hawks,ATL,5,SF,6-8,212,"July 27, 1986",us,4,University of Missouri,/players/c/carrode01.html
Jared Cunningham,Atlanta Hawks,ATL,7,SG,6-4,195,"May 22, 1991",us,1,Oregon State University,/players/c/cunnija01.html
Al Horford,Atlanta Hawks,ATL,15,C,6-10,245,"June 3, 1986",do,6,University of Florida,/players/h/horfoal01.html
John Jenkins,Atlanta Hawks,ATL,12,SG,6-4,215,"March 6, 1991",us,1,Vanderbilt University,/players/j/jenkijo01.html
Kyle Korver,Atlanta Hawks,ATL,26,SG,6-7,212,"March 17, 1981",us,10,Creighton University,/players/k/korveky01.html
Shelvin Mack,Atlanta Hawks,ATL,8,PG,6-3,203,"April 22, 1990",us,2,Butler University,/players/m/macksh01.html
Cartier Martin,Atlanta Hawks,ATL,20,SF,6-7,220,"November 20, 1984",us,5,Kansas State University,/players/m/martica01.html
Paul Millsap,Atlanta Hawks,ATL,4,PF,6-8,246,"February 10, 1985",us,7,Louisiana Tech University,/players/m/millspa01.html
Mike Muscala,Atlanta Hawks,ATL,31,PF,6-11,240,"July 1, 1991",us,R,Bucknell University,/players/m/muscami01.html
James Nunnally,Atlanta Hawks,ATL,2,SF,6-7,205,"July 14, 1990",us,R,"University of California, Santa Barbara",/players/n/nunnaja01.html
Dexter Pittman,Atlanta Hawks,ATL,45,C,6-11,308,"March 2, 1988",us,3,University of Texas at Austin,/players/p/pittmde01.html
Dennis Schroder,Atlanta Hawks,ATL,17,PG,6-1,172,"September 15, 1993",de,R,,/players/s/schrode01.html
Mike Scott,Atlanta Hawks,ATL,32,PF,6-8,237,"July 16, 1988",us,1,University of Virginia,/players/s/scottmi01.html
Jeff Teague,Atlanta Hawks,ATL,0,PG,6-2,186,"June 10, 1988",us,4,Wake Forest University,/players/t/teaguje01.html
Lou Williams,Atlanta Hawks,ATL,3,PG,6-1,175,"October 27, 1986",us,8,,/players/w/willilo02.html
Joel Anthony,Boston Celtics,BOS,50,C,6-9,245,"August 9, 1982",ca,6,"University of Nevada, Las Vegas",/players/a/anthojo01.html
Chris Babb,Boston Celtics,BOS,52,SG,6-5,225,"February 14, 1990",us,R,Iowa State University,/players/b/babbch01.html
Brandon Bass,Boston Celtics,BOS,30,PF,6-8,250,"April 30, 1985",us,8,Louisiana State University,/players/b/bassbr01.html
Jerryd Bayless,Boston Celtics,BOS,11,PG,6-3,200,"August 20, 1988",us,5,University of Arizona,/players/b/bayleje01.html
Vander Blue,Boston Celtics,BOS,13,SG,6-4,200,"July 17, 1992",us,R,Marquette University,/players/b/blueva01.html
Keith Bogans,Boston Celtics,BOS,4,SG,6-5,215,"May 12, 1980",us,10,University of Kentucky,/players/b/boganke01.html
Avery Bradley,Boston Celtics,BOS,0,PG,6-2,180,"November 26, 1990",us,3,University of Texas at Austin,/players/b/bradlav01.html
MarShon Brooks,Boston Celtics,BOS,12,SG,6-5,200,"January 26, 1989",us,2,Providence College,/players/b/brookma01.html
Jordan Crawford,Boston Celtics,BOS,27,SG,6-4,195,"October 23, 1988",us,3,Xavier University,/players/c/crawfjo02.html
Vitor Faverani,Boston Celtics,BOS,38,C,6-11,260,"May 5, 1988",br,R,,/players/f/favervi01.html
Jeff Green,Boston Celtics,BOS,8,SF,6-9,235,"August 28, 1986",us,5,Georgetown University,/players/g/greenje02.html
Kris Humphries,Boston Celtics,BOS,43,PF,6-9,235,"February 6, 1985",us,9,University of Minnesota,/players/h/humphkr01.html
Chris Johnson,Boston Celtics,BOS,12,SF,6-6,206,"April 29, 1990",us,1,University of Dayton,/players/j/johnsch04.html
Courtney Lee,Boston Celtics,BOS,11,SG,6-5,200,"October 3, 1985",us,5,Western Kentucky University,/players/l/leeco01.html
Kelly Olynyk,Boston Celtics,BOS,41,C,7-0,238,"April 19, 1991",ca,R,Gonzaga University,/players/o/olynyke01.html
Phil Pressey,Boston Celtics,BOS,26,PG,5-11,175,"February 17, 1991",us,R,University of Missouri,/players/p/pressph01.html
Rajon Rondo,Boston Celtics,BOS,9,PG,6-1,186,"February 22, 1986",us,7,University of Kentucky,/players/r/rondora01.html
Jared Sullinger,Boston Celtics,BOS,7,PF,6-9,260,"March 4, 1992",us,1,Ohio State University,/players/s/sullija01.html
Gerald Wallace,Boston Celtics,BOS,45,SF,6-7,215,"July 23, 1982",us,12,University of Alabama,/players/w/wallage01.html
Alan Anderson,Brooklyn Nets,BRK,6,SF,6-6,220,"October 16, 1982",us,4,Michigan State University,/players/a/anderal01.html
Andray Blatche,Brooklyn Nets,BRK,0,PF,6-11,235,"August 22, 1986",us,8,,/players/b/blatcan01.html
Jason Collins,Brooklyn Nets,BRK,98,C,7-0,255,"December 2, 1978",us,12,Stanford University,/players/c/collija04.html
Reggie Evans,Brooklyn Nets,BRK,30,PF,6-8,245,"May 18, 1980",us,11,University of Iowa,/players/e/evansre01.html
Kevin Garnett,Brooklyn Nets,BRK,2,C,6-11,240,"May 19, 1976",us,18,,/players/g/garneke01.html
Jorge Gutierrez,Brooklyn Nets,BRK,13,PG,6-3,191,"December 27, 1988",mx,R,University of California,/players/g/gutiejo01.html
Joe Johnson,Brooklyn Nets,BRK,7,SG,6-7,240,"June 29, 1981",us,12,University of Arkansas,/players/j/johnsjo02.html
Andrei Kirilenko,Brooklyn Nets,BRK,47,PF,6-9,220,"February 18, 1981",ru,11,,/players/k/kirilan01.html
Shaun Livingston,Brooklyn Nets,BRK,14,PG,6-7,182,"September 11, 1985",us,8,,/players/l/livinsh01.html
Brook Lopez,Brooklyn Nets,BRK,11,C,7-0,275,"April 1, 1988",us,5,Stanford University,/players/l/lopezbr01.html
Paul Pierce,Brooklyn Nets,BRK,34,SF,6-7,235,"October 13, 1977",us,15,University of Kansas,/players/p/piercpa01.html
Mason Plumlee,Brooklyn Nets,BRK,1,PF,6-11,245,"March 5, 1990",us,R,Duke University,/players/p/plumlma01.html
Tornike Shengelia,Brooklyn Nets,BRK,20,SF,6-9,217,"October 5, 1991",ge,1,,/players/s/shengto01.html
