name,team,short_team,number,pos,height,weight,birth_date,birth_country,years_experience,college_name,uri
Mike Bibby,Atlanta Hawks,ATL,10,PG,6-1,190,"May 13, 1978",us,11,University of Arizona,/players/b/bibbymi01.html
Jason Collins,Atlanta Hawks,ATL,34,C,7-0,255,"December 2, 1978",us,8,Stanford University,/players/c/collija04.html
Jamal Crawford,Atlanta Hawks,ATL,11,SG,6-5,200,"March 20, 1980",us,9,University of Michigan,/players/c/crawfja01.html
Maurice Evans,Atlanta Hawks,ATL,1,SF,6-5,220,"November 8, 1978",us,6,University of Texas at Austin,/players/e/evansma01.html
Al Horford,Atlanta Hawks,ATL,15,C,6-10,245,"June 3, 1986",do,2,University of Florida,/players/h/horfoal01.html
Othello Hunter,Atlanta Hawks,ATL,50,SF,6-8,225,"May 28, 1986",us,1,Ohio State University,/players/h/hunteot01.html
Joe Johnson,Atlanta Hawks,ATL,2,SG,6-7,240,"June 29, 1981",us,8,University of Arkansas,/players/j/johnsjo02.html
Randolph Morris,Atlanta Hawks,ATL,33,PF,6-10,266,"January 2, 1986",us,3,University of Kentucky,/players/m/morrira01.html
Zaza Pachulia,Atlanta Hawks,ATL,27,C,6-11,270,"February 10, 1984",ge,6,,/players/p/pachuza01.html
Joe Smith,Atlanta Hawks,ATL,32,PF,6-10,225,"July 26, 1975",us,14,University of Maryland,/players/s/smithjo02.html
Josh Smith,Atlanta Hawks,ATL,5,PF,6-9,225,"December 5, 1985",us,5,,/players/s/smithjo03.html
Jeff Teague,Atlanta Hawks,ATL,0,PG,6-2,186,"June 10, 1988",us,R,Wake Forest University,/players/t/teaguje01.html
Mario West,Atlanta Hawks,ATL,6,SG,6-5,210,"June 19, 1984",us,2,Georgia Institute of Technology,/players/w/westma02.html
Marvin Williams,Atlanta Hawks,ATL,24,SF,6-9,237,"June 19, 1986",us,4,University of North Carolina,/players/w/willima02.html
Ray Allen,Boston Celtics,BOS,20,SG,6-5,205,"July 20, 1975",us,13,University of Connecticut,/players/a/allenra02.html
Tony Allen,Boston Celtics,BOS,42,SG,6-4,213,"January 11, 1982",us,5,Oklahoma State University,/players/a/allento01.html
Marquis Daniels,Boston Celtics,BOS,7,SF,6-6,200,"January 7, 1981",us,6,Auburn University,/players/d/daniema01.html
Glen Davis,Boston Celtics,BOS,11,PF,6-9,289,"January 1, 1986",us,2,Louisiana State University,/players/d/davisgl01.html
Michael Finley,Boston Celtics,BOS,40,SF,6-7,215,"March 6, 1973",us,14,University of Wisconsin,/players/f/finlemi01.html
Kevin Garnett,Boston Celtics,BOS,5,PF,6-11,240,"May 19, 1976",us,14,,/players/g/garneke01.html
J.R. Giddens,Boston Celtics,BOS,4,SF,6-5,215,"February 13, 1985",us,1,University of New Mexico,/players/g/giddejr01.html
Eddie House,Boston Celtics,BOS,50,PG,6-1,180,"May 14, 1978",us,9,Arizona State University,/players/h/houseed01.html
Lester Hudson,Boston Celtics,BOS,26,PG,6-3,190,"August 7, 1984",us,R,University of Tennessee at Martin,/players/h/hudsole01.html
Oliver Lafayette,Boston Celtics,BOS,40,SG,6-2,190,"May 6, 1984",us,R,University of Houston,/players/l/lafayol01.html
Marcus Landry,Boston Celtics,BOS,12,SF,6-7,230,"November 1, 1985",us,R,University of Wisconsin,/players/l/landrma01.html
Kendrick Perkins,Boston Celtics,BOS,43,C,6-10,270,"November 10, 1984",us,6,,/players/p/perkike01.html
Paul Pierce,Boston Celtics,BOS,34,SF,6-7,235,"October 13, 1977",us,11,University of Kansas,/players/p/piercpa01.html
Nate Robinson,Boston Celtics,BOS,4,PG,5-9,180,"May 31, 1984",us,4,University of Washington,/players/r/robinna01.html
Rajon Rondo,Boston Celtics,BOS,9,PG,6-1,186,"February 22, 1986",us,3,University of Kentucky,/players/r/rondora01.html
