name,team,short_team,number,pos,height,weight,birth_date,birth_country,years_experience,college_name,uri
Hilton Armstrong,Atlanta Hawks,ATL,31,C,6-11,235,"November 11, 1984",us,4,University of Connecticut,/players/a/armsthi01.html
Mike Bibby,Atlanta Hawks,ATL,10,PG,6-1,190,"May 13, 1978",us,12,University of Arizona,/players/b/bibbymi01.html
Jason Collins,Atlanta Hawks,ATL,34,C,7-0,255,"December 2, 1978",us,9,Stanford University,/players/c/collija04.html
Jamal Crawford,Atlanta Hawks,ATL,11,SG,6-5,200,"March 20, 1980",us,10,University of Michigan,/players/c/crawfja01.html
Jordan Crawford,Atlanta Hawks,ATL,55,SG,6-4,195,"October 23, 1988",us,R,Xavier University,/players/c/crawfjo02.html
Maurice Evans,Atlanta Hawks,ATL,1,SF,6-5,220,"November 8, 1978",us,7,University of Texas at Austin,/players/e/evansma01.html
Kirk Hinrich,Atlanta Hawks,ATL,6,PG,6-4,190,"January 2, 1981",us,7,University of Kansas,/players/h/hinriki01.html
Al Horford,Atlanta Hawks,ATL,15,C,6-10,245,"June 3, 1986",do,3,University of Florida,/players/h/horfoal01.html
Joe Johnson,Atlanta Hawks,ATL,2,SG,6-7,240,"June 29, 1981",us,9,University of Arkansas,/players/j/johnsjo02.html
Zaza Pachulia,Atlanta Hawks,ATL,27,C,6-11,270,"February 10, 1984",ge,7,,/players/p/pachuza01.html
Josh Powell,Atlanta Hawks,ATL,12,PF,6-9,225,"January 25, 1983",us,5,North Carolina State University,/players/p/poweljo01.html
Josh Smith,Atlanta Hawks,ATL,5,PF,6-9,225,"December 5, 1985",us,6,,/players/s/smithjo03.html
Pape Sy,Atlanta Hawks,ATL,19,SF,6-7,225,"April 5, 1988",fr,R,,/players/s/sypa01.html
Jeff Teague,Atlanta Hawks,ATL,0,PG,6-2,186,"June 10, 1988",us,1,Wake Forest University,/players/t/teaguje01.html
Etan Thomas,Atlanta Hawks,ATL,36,C,6-9,256,"April 1, 1978",us,8,Syracuse University,/players/t/thomaet01.html
Damien Wilkins,Atlanta Hawks,ATL,3,SF,6-6,225,"January 11, 1980",us,6,University of Georgia,/players/w/wilkida02.html
Marvin Williams,Atlanta Hawks,ATL,24,SF,6-9,237,"June 19, 1986",us,5,University of North Carolina,/players/w/willima02.html
Ray Allen,Boston Celtics,BOS,20,SG,6-5,205,"July 20, 1975",us,14,University of Connecticut,/players/a/allenra02.html
Carlos Arroyo,Boston Celtics,BOS,45,PG,6-2,202,"July 30, 1979",pr,8,Florida International University,/players/a/arroyca01.html
Avery Bradley,Boston Celtics,BOS,0,PG,6-2,180,"November 26, 1990",us,R,University of Texas at Austin,/players/b/bradlav01.html
Marquis Daniels,Boston Celtics,BOS,8,SF,6-6,200,"January 7, 1981",us,7,Auburn University,/players/d/daniema01.html
Glen Davis,Boston Celtics,BOS,11,C,6-9,289,"January 1, 1986",us,3,Louisiana State University,/players/d/davisgl01.html
Semih Erden,Boston Celtics,BOS,86,C,7-0,240,"July 28, 1986",tr,R,,/players/e/erdense01.html
Kevin Garnett,Boston Celtics,BOS,5,PF,6-11,240,"May 19, 1976",us,15,,/players/g/garneke01.html
Jeff Green,Boston Celtics,BOS,8,SF,6-9,235,"August 28, 1986",us,3,Georgetown University,/players/g/greenje02.html
Luke Harangody,Boston Celtics,BOS,55,PF,6-8,246,"January 2, 1988",us,R,University of Notre Dame,/players/h/haranlu01.html
Chris Johnson,Boston Celtics,BOS,86,C,6-11,210,"July 15, 1985",us,R,Louisiana State University,/players/j/johnsch03.html
Nenad Krstic,Boston Celtics,BOS,4,C,7-0,240,"July 25, 1983",rs,6,,/players/k/krstine01.html
Troy Murphy,Boston Celtics,BOS,30,PF,6-11,245,"May 2, 1980",us,9,University of Notre Dame,/players/m/murphtr01.html
Jermaine O'Neal,Boston Celtics,BOS,7,C,6-11,226,"October 13, 1978",us,14,,/players/o/onealje01.html
Shaquille O'Neal,Boston Celtics,BOS,36,C,7-1,325,"March 6, 1972",us,18,Louisiana State University,/players/o/onealsh01.html
Sasha Pavlovic,Boston Celtics,BOS,77,SG,6-8,220,"November 15, 1983",me,7,,/players/p/pavloal01.html
Kendrick Perkins,Boston Celtics,BOS,43,C,6-10,270,"November 10, 1984",us,7,,/players/p/perkike01.html
Paul Pierce,Boston Celtics,BOS,34,SF,6-7,235,"October 13, 1977",us,12,University of Kansas,/players/p/piercpa01.html
Nate Robinson,Boston Celtics,BOS,4,PG,5-9,180,"May 31, 1984",us,5,University of Washington,/players/r/robinna01.html
Rajon Rondo,Boston Celtics,BOS,9,PG,6-1,186,"February 22, 1986",us,4,University of Kentucky,/players/r/rondora01.html
