name,team,short_team,number,pos,height,weight,birth_date,birth_country,years_experience,college_name,uri
Pero Antic,Atlanta Hawks,ATL,6,PF,6-11,260,"July 29, 1982",mk,1,,/players/a/anticpe01.html
Kent Bazemore,Atlanta Hawks,ATL,24,SG,6-5,201,"July 1, 1989",us,2,Old Dominion University,/players/b/bazemke01.html
Elton Brand,Atlanta Hawks,ATL,7,C,6-8,275,"March 11, 1979",us,15,Duke University,/players/b/brandel01.html
DeMarre Carroll,Atlanta Hawks,ATL,5,SF,6-8,212,"July 27, 1986",us,5,University of Missouri,/players/c/carrode01.html
Austin Daye,Atlanta Hawks,ATL,3,SF,6-11,220,"June 5, 1988",us,5,Gonzaga University,/players/d/dayeau01.html
Al Horford,Atlanta Hawks,ATL,15,C,6-10,245,"June 3, 1986",do,7,University of Florida,/players/h/horfoal01.html
John Jenkins,Atlanta Hawks,ATL,12,SG,6-4,215,"March 6, 1991",us,2,Vanderbilt University,/players/j/jenkijo01.html
Kyle Korver,Atlanta Hawks,ATL,26,SG,6-7,212,"March 17, 1981",us,11,Creighton University,/players/k/korveky01.html
Shelvin Mack,Atlanta Hawks,ATL,8,PG,6-3,203,"April 22, 1990",us,3,Butler University,/players/m/macksh01.html
Paul Millsap,Atlanta Hawks,ATL,4,PF,6-8,246,"February 10, 1985",us,8,Louisiana Tech University,/players/m/millspa01.html
Mike Muscala,Atlanta Hawks,ATL,31,PF,6-11,240,"July 1, 1991",us,1,Bucknell University,/players/m/muscami01.html
Adreian Payne,Atlanta Hawks,ATL,33,PF,6-10,237,"February 19, 1991",us,R,Michigan State University,/players/p/paynead01.html
Dennis Schroder,Atlanta Hawks,ATL,17,PG,6-1,172,"September 15, 1993",de,1,,/players/s/schrode01.html
Mike Scott,Atlanta Hawks,ATL,32,PF,6-8,237,"July 16, 1988",us,2,University of Virginia,/players/s/scottmi01.html
Thabo Sefolosha,Atlanta Hawks,ATL,25,SF,6-7,220,"May 2, 1984",ch,8,,/players/s/sefolth01.html
Jeff Teague,Atlanta Hawks,ATL,0,PG,6-2,186,"June 10, 1988",us,5,Wake Forest University,/players/t/teaguje01.html
Brandon Bass,Boston Celtics,BOS,30,PF,6-8,250,"April 30, 1985",us,9,Louisiana State University,/players/b/bassbr01.html
Avery Bradley,Boston Celtics,BOS,0,SG,6-2,180,"November 26, 1990",us,4,University of Texas at Austin,/players/b/bradlav01.html
Jae Crowder,Boston Celtics,BOS,99,SF,6-6,235,"July 6, 1990",us,2,Marquette University,/players/c/crowdja01.html
Luigi Datome,Boston Celtics,BOS,70,SF,6-8,215,"November 27, 1987",it,1,,/players/d/datomlu01.html
Jeff Green,Boston Celtics,BOS,8,SF,6-9,235,"August 28, 1986",us,6,Georgetown University,/players/g/greenje02.html
Jonas Jerebko,Boston Celtics,BOS,8,PF,6-10,231,"March 2, 1987",se,4,,/players/j/jerebjo01.html
Jameer Nelson,Boston Celtics,BOS,28,PG,6-0,190,"February 9, 1982",us,10,Saint Joseph's University,/players/n/nelsoja01.html
Kelly Olynyk,Boston Celtics,BOS,41,C,7-0,238,"April 19, 1991",ca,1,Gonzaga University,/players/o/olynyke01.html
Dwight Powell,Boston Celtics,BOS,12,PF,6-11,240,"July 20, 1991",ca,R,Stanford University,/players/p/poweldw01.html
Phil Pressey,Boston Celtics,BOS,26,PG,5-11,175,"February 17, 1991",us,1,University of Missouri,/players/p/pressph01.html
Tayshaun Prince,Boston Celtics,BOS,12,SF,6-9,212,"February 28, 1980",us,12,University of Kentucky,/players/p/princta01.html
Shavlik Randolph,Boston Celtics,BOS,42,PF,6-10,240,"November 24, 1983",us,7,Duke University,/players/r/randosh01.html
Rajon Rondo,Boston Celtics,BOS,9,PG,6-1,186,"February 22, 1986",us,8,University of Kentucky,/players/r/rondora01.html
Marcus Smart,Boston Celtics,BOS,36,PG,6-4,220,"March 6, 1994",us,R,Oklahoma State University,/players/s/smartma01.html
Jared Sullinger,Boston Celtics,BOS,7,PF,6-9,260,"March 4, 1992",us,2,Ohio State University,/players/s/sullija01.html
Isaiah Thomas,Boston Celtics,BOS,4,PG,5-9,185,"February 7, 1989",us,3,University of Washington,/players/t/thomais02.html
Marcus Thornton,Boston Celtics,BOS,4,SG,6-4,205,"June 5, 1987",us,5,Louisiana State University,/players/t/thornma01.html
Evan Turner,Boston Celtics,BOS,11,SG,6-7,220,"October 27, 1988",us,4,Ohio State University,/players/t/turneev01.html
Gerald Wallace,Boston Celtics,BOS,45,SF,6-7,215,"July 23, 1982",us,13,University of Alabama,/players/w/wallage01.html
Brandan Wright,Boston Celtics,BOS,12,PF,6-10,210,"October 5, 1987",us,6,University of North Carolina,/players/w/wrighbr03.html
James Young,Boston Celtics,BOS,13,SG,6-6,215,"August 16, 1995",us,R,University of Kentucky,/players/y/youngja01.html
Tyler Zeller,Boston Celtics,BOS,44,C,7-0,253,"January 17, 1990",us,2,University of North Carolina,/players/z/zellety01.html
Alan Anderson,Brooklyn Nets,BRK,6,SG,6-6,220,"October 16, 1982",us,5,Michigan State University,/players/a/anderal01.html
Bojan Bogdanovic,Brooklyn Nets,BRK,44,SF,6-8,216,"April 18, 1989",ba,R,,/players/b/bogdabo02.html
Markel Brown,Brooklyn Nets,BRK,22,SG,6-3,190,"January 29, 1992",us,R,Oklahoma State University,/players/b/brownma02.html
Earl Clark,Brooklyn Nets,BRK,55,PF,6-10,225,"January 17, 1988",us,5,University of Louisville,/players/c/clarkea01.html
Brandon Davies,Brooklyn Nets,BRK,20,PF,6-10,240,"July 25, 1991",us,1,Brigham Young University,/players/d/daviebr01.html
Kevin Garnett,Brooklyn Nets,BRK,2,PF,6-11,240,"May 19, 1976",us,19,,/players/g/garneke01.html
Jorge Gutierrez,Brooklyn Nets,BRK,13,PG,6-3,191,"December 27, 1988",mx,1,University of California,/players/g/gutiejo01.html
Jarrett Jack,Brooklyn Nets,BRK,0,PG,6-3,200,"October 28, 1983",us,9,Georgia Institute of Technology,/players/j/jackja01.html
Cory Jefferson,Brooklyn Nets,BRK,21,PF,6-9,218,"December 26, 1990",us,R,Baylor University,/players/j/jeffeco01.html
Joe Johnson,Brooklyn Nets,BRK,7,SG,6-7,240,"June 29, 1981",us,13,University of Arkansas,/players/j/johnsjo02.html
Jerome Jordan,Brooklyn Nets,BRK,9,C,7-0,253,"September 29, 1986",jm,1,University of Tulsa,/players/j/jordaje01.html
Sergey Karasev,Brooklyn Nets,BRK,10,SG,6-7,208,"October 26, 1993",ru,1,,/players/k/karasse01.html
Andrei Kirilenko,Brooklyn Nets,BRK,47,SF,6-9,220,"February 18, 1981",ru,12,,/players/k/kirilan01.html
Brook Lopez,Brooklyn Nets,BRK,11,C,7-0,275,"April 1, 1988",us,6,Stanford University,/players/l/lopezbr01.html
Darius Morris,Brooklyn Nets,BRK,14,PG,6-4,190,"January 3, 1991",us,3,University of Michigan,/players/m/morrida01.html
Mason Plumlee,Brooklyn Nets,BRK,1,C,6-11,245,"March 5, 1990",us,1,Duke University,/players/p/plumlma01.html
Mirza Teletovic,Brooklyn Nets,BRK,33,PF,6-9,242,"September 18, 1985",ba,2,,/players/t/teletmi01.html
Deron Williams,Brooklyn Nets,BRK,8,PG,6-3,200,"June 26, 1984",us,9,University of Illinois at Urbana-Champaign,/players/w/willide01.html
Thaddeus Young,Brooklyn Nets,BRK,30,PF,6-8,221,"June 21, 1988",us,7,Georgia Institute of Technology,/players/y/youngth01.html
Bismack Biyombo,Charlotte Hornets,CHO,8,C,6-9,245,"August 28, 1992",cd,3,,/players/b/biyombi01.html
Troy Daniels,Charlotte Hornets,CHO,30,SG,6-4,205,"July 15, 1991",us,1,Virginia Commonwealth University,/players/d/danietr01.html
P.J. Hairston,Charlotte Hornets,CHO,19,SG,6-6,230,"December 24, 1992",us,R,University of North Carolina,/players/h/hairspj02.html
Gerald Henderson,Charlotte Hornets,CHO,9,SG,6-5,215,"December 9, 1987",us,5,Duke University,/players/h/hendege02.html
Al Jefferson,Charlotte Hornets,CHO,25,C,6-10,289,"January 4, 1985",us,10,,/players/j/jeffeal01.html
Michael Kidd-Gilchrist,Charlotte Hornets,CHO,14,SF,6-7,232,"September 26, 1993",us,2,University of Kentucky,/players/k/kiddgmi01.html
Jason Maxiell,Charlotte Hornets,CHO,54,PF,6-7,260,"February 18, 1983",us,9,University of Cincinnati,/players/m/maxieja01.html
Gary Neal,Charlotte Hornets,CHO,12,SG,6-4,210,"October 3, 1984",us,4,Towson University,/players/n/nealga01.html
Jannero Pargo,Charlotte Hornets,CHO,5,PG,6-1,175,"October 22, 1979",us,10,University of Arkansas,/players/p/pargoja01.html
Brian Roberts,Charlotte Hornets,CHO,22,PG,6-1,173,"December 3, 1985",us,2,University of Dayton,/players/r/roberbr01.html
Lance Stephenson,Charlotte Hornets,CHO,1,SG,6-5,230,"September 5, 1990",us,4,University of Cincinnati,/players/s/stephla01.html
Jeffery Taylor,Charlotte Hornets,CHO,44,SF,6-7,225,"May 23, 1989",se,2,Vanderbilt University,/players/t/tayloje03.html
Noah Vonleh,Charlotte Hornets,CHO,11,PF,6-10,240,"August 24, 1995",us,R,Indiana University,/players/v/vonleno01.html
Kemba Walker,Charlotte Hornets,CHO,15,PG,6-1,172,"May 8, 1990",us,3,University of Connecticut,/players/w/walkeke02.html
Marvin Williams,Charlotte Hornets,CHO,2,PF,6-9,237,"June 19, 1986",us,9,University of North Carolina,/players/w/willima02.html
Mo Williams,Charlotte Hornets,CHO,7,PG,6-1,198,"December 19, 1982",us,11,University of Alabama,/players/w/willima01.html
Cody Zeller,Charlotte Hornets,CHO,40,C,7-0,240,"October 5, 1992",us,1,Indiana University,/players/z/zelleco01.html
Cameron Bairstow,Chicago Bulls,CHI,41,PF,6-9,250,"December 7, 1990",au,R,University of New Mexico,/players/b/bairsca01.html
Aaron Brooks,Chicago Bulls,CHI,0,PG,6-0,161,"January 14, 1985",us,6,University of Oregon,/players/b/brookaa01.html
Jimmy Butler,Chicago Bulls,CHI,21,SG,6-7,220,"September 14, 1989",us,3,Marquette University,/players/b/butleji01.html
Mike Dunleavy,Chicago Bulls,CHI,34,SF,6-9,230,"September 15, 1980",us,12,Duke University,/players/d/dunlemi02.html
Pau Gasol,Chicago Bulls,CHI,16,PF,7-0,250,"July 6, 1980",es,13,,/players/g/gasolpa01.html
Taj Gibson,Chicago Bulls,CHI,22,PF,6-9,225,"June 24, 1985",us,5,University of Southern California,/players/g/gibsota01.html
Kirk Hinrich,Chicago Bulls,CHI,12,SG,6-4,190,"January 2, 1981",us,11,University of Kansas,/players/h/hinriki01.html
Doug McDermott,Chicago Bulls,CHI,3,SF,6-8,225,"January 3, 1992",us,R,Creighton University,/players/m/mcderdo01.html
Nikola Mirotic,Chicago Bulls,CHI,44,PF,6-10,220,"February 11, 1991",me,R,,/players/m/mirotni01.html
Nazr Mohammed,Chicago Bulls,CHI,48,C,6-10,221,"September 5, 1977",us,16,University of Kentucky,/players/m/mohamna01.html
E'Twaun Moore,Chicago Bulls,CHI,55,SG,6-4,191,"February 28, 1989",us,3,Purdue University,/players/m/mooreet01.html
Joakim Noah,Chicago Bulls,CHI,13,C,6-11,232,"February 25, 1985",us,7,University of Florida,/players/n/noahjo01.html
Derrick Rose,Chicago Bulls,CHI,1,PG,6-3,190,"October 4, 1988",us,5,University of Memphis,/players/r/rosede01.html
Tony Snell,Chicago Bulls,CHI,20,SF,6-7,200,"November 10, 1991",us,1,University of New Mexico,/players/s/snellto01.html
Lou Amundson,Cleveland Cavaliers,CLE,89,PF,6-9,220,"December 7, 1982",us,8,"University of Nevada, Las Vegas",/players/a/amundlo01.html
Will Cherry,Cleveland Cavaliers,CLE,5,PG,6-0,185,"February 8, 1991",us,R,University of Montana,/players/c/cherrwi01.html
Matthew Dellavedova,Cleveland Cavaliers,CLE,8,SG,6-4,198,"September 8, 1990",au,1,Saint Mary's College of California,/players/d/dellama01.html
Joe Harris,Cleveland Cavaliers,CLE,12,SG,6-6,219,"September 7, 1991",us,R,University of Virginia,/players/h/harrijo01.html
Brendan Haywood,Cleveland Cavaliers,CLE,33,C,7-0,268,"November 27, 1979",us,12,University of North Carolina,/players/h/haywobr01.html
Kyrie Irving,Cleveland Cavaliers,CLE,2,PG,6-3,193,"March 23, 1992",au,3,Duke University,/players/i/irvinky01.html
LeBron James,Cleveland Cavaliers,CLE,23,SF,6-8,250,"December 30, 1984",us,11,,/players/j/jamesle01.html
James Jones,Cleveland Cavaliers,CLE,1,SF,6-8,218,"October 4, 1980",us,11,University of Miami,/players/j/jonesja02.html
Alex Kirk,Cleveland Cavaliers,CLE,53,C,7-0,245,"November 14, 1991",us,R,University of New Mexico,/players/k/kirkal01.html
Kevin Love,Cleveland Cavaliers,CLE,0,PF,6-10,251,"September 7, 1988",us,6,"University of California, Los Angeles",/players/l/loveke01.html
Shawn Marion,Cleveland Cavaliers,CLE,31,SF,6-7,220,"May 7, 1978",us,15,"University of Nevada, Las Vegas",/players/m/mariosh01.html
Mike Miller,Cleveland Cavaliers,CLE,18,SF,6-8,218,"February 19, 1980",us,14,University of Florida,/players/m/millemi01.html
Timofey Mozgov,Cleveland Cavaliers,CLE,20,C,7-1,275,"July 16, 1986",ru,4,,/players/m/mozgoti01.html
Kendrick Perkins,Cleveland Cavaliers,CLE,3,C,6-10,270,"November 10, 1984",us,11,,/players/p/perkike01.html
A.J. Price,Cleveland Cavaliers,CLE,21,PG,6-2,181,"October 7, 1986",us,5,University of Connecticut,/players/p/priceaj01.html
Iman Shumpert,Cleveland Cavaliers,CLE,4,SG,6-5,220,"June 26, 1990",us,3,Georgia Institute of Technology,/players/s/shumpim01.html
J.R. Smith,Cleveland Cavaliers,CLE,5,SG,6-6,225,"September 9, 1985",us,10,,/players/s/smithjr01.html
Tristan Thompson,Cleveland Cavaliers,CLE,13,PF,6-9,238,"March 13, 1991",ca,3,University of Texas at Austin,/players/t/thomptr01.html
