name,team,short_team,number,pos,height,weight,birth_date,birth_country,years_experience,college_name,uri
Kent Bazemore,Atlanta Hawks,ATL,24,SF,6-5,201,"July 1, 1989",us,3,Old Dominion University,/players/b/bazemke01.html
Tim Hardaway,Atlanta Hawks,ATL,10,SG,6-6,205,"March 16, 1992",us,2,University of Michigan,/players/h/hardati02.html
Kirk Hinrich,Atlanta Hawks,ATL,12,PG,6-4,190,"January 2, 1981",us,12,University of Kansas,/players/h/hinriki01.html
Justin Holiday,Atlanta Hawks,ATL,7,SG,6-6,185,"April 5, 1989",us,2,University of Washington,/players/h/holidju01.html
Al Horford,Atlanta Hawks,ATL,15,C,6-10,245,"June 3, 1986",do,8,University of Florida,/players/h/horfoal01.html
Kris Humphries,Atlanta Hawks,ATL,43,PF,6-9,235,"February 6, 1985",us,11,University of Minnesota,/players/h/humphkr01.html
Kyle Korver,Atlanta Hawks,ATL,26,SG,6-7,212,"March 17, 1981",us,12,Creighton University,/players/k/korveky01.html
Shelvin Mack,Atlanta Hawks,ATL,8,PG,6-3,203,"April 22, 1990",us,4,Butler University,/players/m/macksh01.html
Paul Millsap,Atlanta Hawks,ATL,4,PF,6-8,246,"February 10, 1985",us,9,Louisiana Tech University,/players/m/millspa01.html
Mike Muscala,Atlanta Hawks,ATL,31,C,6-11,240,"July 1, 1991",us,2,Bucknell University,/players/m/muscami01.html
Lamar Patterson,Atlanta Hawks,ATL,13,SG,6-5,225,"August 12, 1991",us,R,University of Pittsburgh,/players/p/pattela01.html
Dennis Schroder,Atlanta Hawks,ATL,17,PG,6-1,172,"September 15, 1993",de,2,,/players/s/schrode01.html
Mike Scott,Atlanta Hawks,ATL,32,PF,6-8,237,"July 16, 1988",us,3,University of Virginia,/players/s/scottmi01.html
Thabo Sefolosha,Atlanta Hawks,ATL,25,SF,6-7,220,"May 2, 1984",ch,9,,/players/s/sefolth01.html
Tiago Splitter,Atlanta Hawks,ATL,11,C,6-11,245,"January 1, 1985",br,5,,/players/s/splitti01.html
Walter Tavares,Atlanta Hawks,ATL,22,C,7-3,260,"March 22, 1992",cv,R,,/players/t/tavarwa01.html
Jeff Teague,Atlanta Hawks,ATL,0,PG,6-2,186,"June 10, 1988",us,6,Wake Forest University,/players/t/teaguje01.html
Avery Bradley,Boston Celtics,BOS,0,SG,6-2,180,"November 26, 1990",us,5,University of Texas at Austin,/players/b/bradlav01.html
Coty Clarke,Boston Celtics,BOS,63,SF,6-7,232,"July 4, 1992",us,R,University of Arkansas,/players/c/clarkco01.html
Jae Crowder,Boston Celtics,BOS,99,SF,6-6,235,"July 6, 1990",us,3,Marquette University,/players/c/crowdja01.html
R.J. Hunter,Boston Celtics,BOS,28,SG,6-5,185,"October 24, 1993",us,R,Georgia State University,/players/h/hunterj01.html
Jonas Jerebko,Boston Celtics,BOS,8,PF,6-10,231,"March 2, 1987",se,5,,/players/j/jerebjo01.html
Amir Johnson,Boston Celtics,BOS,90,PF,6-9,240,"May 1, 1987",us,10,,/players/j/johnsam01.html
David Lee,Boston Celtics,BOS,42,PF,6-9,245,"April 29, 1983",us,10,University of Florida,/players/l/leeda02.html
Jordan Mickey,Boston Celtics,BOS,55,PF,6-8,235,"July 9, 1994",us,R,Louisiana State University,/players/m/mickejo01.html
Kelly Olynyk,Boston Celtics,BOS,41,C,7-0,238,"April 19, 1991",ca,2,Gonzaga University,/players/o/olynyke01.html
Terry Rozier,Boston Celtics,BOS,12,PG,6-2,190,"March 17, 1994",us,R,University of Louisville,/players/r/roziete01.html
Marcus Smart,Boston Celtics,BOS,36,PG,6-4,220,"March 6, 1994",us,1,Oklahoma State University,/players/s/smartma01.html
Jared Sullinger,Boston Celtics,BOS,7,PF,6-9,260,"March 4, 1992",us,3,Ohio State University,/players/s/sullija01.html
Isaiah Thomas,Boston Celtics,BOS,4,PG,5-9,185,"February 7, 1989",us,4,University of Washington,/players/t/thomais02.html
Evan Turner,Boston Celtics,BOS,11,SG,6-7,220,"October 27, 1988",us,5,Ohio State University,/players/t/turneev01.html
James Young,Boston Celtics,BOS,13,SG,6-6,215,"August 16, 1995",us,1,University of Kentucky,/players/y/youngja01.html
Tyler Zeller,Boston Celtics,BOS,44,C,7-0,253,"January 17, 1990",us,3,University of North Carolina,/players/z/zellety01.html
Andrea Bargnani,Brooklyn Nets,BRK,9,C,7-0,245,"October 26, 1985",it,9,,/players/b/bargnan01.html
Bojan Bogdanovic,Brooklyn Nets,BRK,44,SF,6-8,216,"April 18, 1989",ba,1,,/players/b/bogdabo02.html
Markel Brown,Brooklyn Nets,BRK,22,SG,6-3,190,"January 29, 1992",us,1,Oklahoma State University,/players/b/brownma02.html
Wayne Ellington,Brooklyn Nets,BRK,21,SG,6-4,200,"October 29, 1987",us,6,University of North Carolina,/players/e/ellinwa01.html
Rondae Hollis-Jefferson,Brooklyn Nets,BRK,24,SF,6-7,220,"January 3, 1995",us,R,University of Arizona,/players/h/holliro01.html
Jarrett Jack,Brooklyn Nets,BRK,2,PG,6-3,200,"October 28, 1983",us,10,Georgia Institute of Technology,/players/j/jackja01.html
Joe Johnson,Brooklyn Nets,BRK,7,SF,6-7,240,"June 29, 1981",us,14,University of Arkansas,/players/j/johnsjo02.html
Sergey Karasev,Brooklyn Nets,BRK,10,SF,6-7,208,"October 26, 1993",ru,2,,/players/k/karasse01.html
Sean Kilpatrick,Brooklyn Nets,BRK,6,SG,6-4,210,"January 6, 1990",us,1,University of Cincinnati,/players/k/kilpase01.html
Shane Larkin,Brooklyn Nets,BRK,0,PG,5-11,175,"October 2, 1992",us,2,University of Miami,/players/l/larkish01.html
Brook Lopez,Brooklyn Nets,BRK,11,C,7-0,275,"April 1, 1988",us,7,Stanford University,/players/l/lopezbr01.html
Chris McCullough,Brooklyn Nets,BRK,1,PF,6-11,200,"February 5, 1995",us,R,Syracuse University,/players/m/mcculch01.html
Willie Reed,Brooklyn Nets,BRK,33,PF,6-10,220,"May 16, 1990",us,R,Saint Louis University,/players/r/reedwi02.html
Thomas Robinson,Brooklyn Nets,BRK,41,PF,6-10,237,"March 17, 1991",us,3,University of Kansas,/players/r/robinth01.html
Henry Sims,Brooklyn Nets,BRK,14,C,6-10,248,"March 27, 1990",us,3,Georgetown University,/players/s/simshe01.html
Donald Sloan,Brooklyn Nets,BRK,15,PG,6-3,205,"January 15, 1988",us,4,Texas A&M University,/players/s/sloando01.html
Thaddeus Young,Brooklyn Nets,BRK,30,PF,6-8,221,"June 21, 1988",us,8,Georgia Institute of Technology,/players/y/youngth01.html
Nicolas Batum,Charlotte Hornets,CHO,5,SF,6-8,200,"December 14, 1988",fr,7,,/players/b/batumni01.html
Troy Daniels,Charlotte Hornets,CHO,30,SG,6-4,205,"July 15, 1991",us,2,Virginia Commonwealth University,/players/d/danietr01.html
Jorge Gutierrez,Charlotte Hornets,CHO,12,PG,6-3,191,"December 27, 1988",mx,2,University of California,/players/g/gutiejo01.html
P.J. Hairston,Charlotte Hornets,CHO,19,SF,6-6,230,"December 24, 1992",us,1,University of North Carolina,/players/h/hairspj02.html
Tyler Hansbrough,Charlotte Hornets,CHO,50,PF,6-9,250,"November 3, 1985",us,6,University of North Carolina,/players/h/hansbty01.html
Aaron Harrison,Charlotte Hornets,CHO,9,SG,6-6,210,"October 28, 1994",us,R,University of Kentucky,/players/h/harriaa01.html
Spencer Hawes,Charlotte Hornets,CHO,00,PF,7-1,245,"April 28, 1988",us,8,University of Washington,/players/h/hawessp01.html
Al Jefferson,Charlotte Hornets,CHO,25,C,6-10,289,"January 4, 1985",us,11,,/players/j/jeffeal01.html
Frank Kaminsky,Charlotte Hornets,CHO,44,C,7-0,242,"April 4, 1993",us,R,University of Wisconsin,/players/k/kaminfr01.html
Michael Kidd-Gilchrist,Charlotte Hornets,CHO,14,SF,6-7,232,"September 26, 1993",us,3,University of Kentucky,/players/k/kiddgmi01.html
Jeremy Lamb,Charlotte Hornets,CHO,3,SG,6-5,185,"May 30, 1992",us,3,University of Connecticut,/players/l/lambje01.html
Courtney Lee,Charlotte Hornets,CHO,1,SG,6-5,200,"October 3, 1985",us,7,Western Kentucky University,/players/l/leeco01.html
Jeremy Lin,Charlotte Hornets,CHO,7,SG,6-3,200,"August 23, 1988",us,5,Harvard University,/players/l/linje01.html
Brian Roberts,Charlotte Hornets,CHO,22,PG,6-1,173,"December 3, 1985",us,3,University of Dayton,/players/r/roberbr01.html
Kemba Walker,Charlotte Hornets,CHO,15,PG,6-1,172,"May 8, 1990",us,4,University of Connecticut,/players/w/walkeke02.html
Marvin Williams,Charlotte Hornets,CHO,2,PF,6-9,237,"June 19, 1986",us,10,University of North Carolina,/players/w/willima02.html
Cody Zeller,Charlotte Hornets,CHO,40,C,7-0,240,"October 5, 1992",us,2,Indiana University,/players/z/zelleco01.html
Cameron Bairstow,Chicago Bulls,CHI,41,C,6-9,250,"December 7, 1990",au,1,University of New Mexico,/players/b/bairsca01.html
Aaron Brooks,Chicago Bulls,CHI,0,PG,6-0,161,"January 14, 1985",us,7,University of Oregon,/players/b/brookaa01.html
Jimmy Butler,Chicago Bulls,CHI,21,SG,6-7,220,"September 14, 1989",us,4,Marquette University,/players/b/butleji01.html
Mike Dunleavy,Chicago Bulls,CHI,34,SF,6-9,230,"September 15, 1980",us,13,Duke University,/players/d/dunlemi02.html
Cristiano Felicio,Chicago Bulls,CHI,6,C,6-10,275,"July 7, 1992",br,R,,/players/f/feliccr01.html
Pau Gasol,Chicago Bulls,CHI,16,C,7-0,250,"July 6, 1980",es,14,,/players/g/gasolpa01.html
Taj Gibson,Chicago Bulls,CHI,22,PF,6-9,225,"June 24, 1985",us,6,University of Southern California,/players/g/gibsota01.html
Kirk Hinrich,Chicago Bulls,CHI,12,PG,6-4,190,"January 2, 1981",us,12,University of Kansas,/players/h/hinriki01.html
Justin Holiday,Chicago Bulls,CHI,7,SG,6-6,185,"April 5, 1989",us,2,University of Washington,/players/h/holidju01.html
Doug McDermott,Chicago Bulls,CHI,3,SF,6-8,225,"January 3, 1992",us,1,Creighton University,/players/m/mcderdo01.html
Nikola Mirotic,Chicago Bulls,CHI,44,PF,6-10,220,"February 11, 1991",me,1,,/players/m/mirotni01.html
E'Twaun Moore,Chicago Bulls,CHI,55,SG,6-4,191,"February 28, 1989",us,4,Purdue University,/players/m/mooreet01.html
Joakim Noah,Chicago Bulls,CHI,13,C,6-11,232,"February 25, 1985",us,8,University of Florida,/players/n/noahjo01.html
Bobby Portis,Chicago Bulls,CHI,5,PF,6-11,230,"February 10, 1995",us,R,University of Arkansas,/players/p/portibo01.html
Derrick Rose,Chicago Bulls,CHI,1,PG,6-3,190,"October 4, 1988",us,6,University of Memphis,/players/r/rosede01.html
Tony Snell,Chicago Bulls,CHI,20,SF,6-7,200,"November 10, 1991",us,2,University of New Mexico,/players/s/snellto01.html
Jared Cunningham,Cleveland Cavaliers,CLE,9,SG,6-4,195,"May 22, 1991",us,3,Oregon State University,/players/c/cunnija01.html
Matthew Dellavedova,Cleveland Cavaliers,CLE,8,PG,6-4,198,"September 8, 1990",au,2,Saint Mary's College of California,/players/d/dellama01.html
Channing Frye,Cleveland Cavaliers,CLE,9,C,6-11,255,"May 17, 1983",us,9,University of Arizona,/players/f/fryech01.html
Joe Harris,Cleveland Cavaliers,CLE,12,SG,6-6,219,"September 7, 1991",us,1,University of Virginia,/players/h/harrijo01.html
Kyrie Irving,Cleveland Cavaliers,CLE,2,PG,6-3,193,"March 23, 1992",au,4,Duke University,/players/i/irvinky01.html
LeBron James,Cleveland Cavaliers,CLE,23,SF,6-8,250,"December 30, 1984",us,12,,/players/j/jamesle01.html
Richard Jefferson,Cleveland Cavaliers,CLE,24,SF,6-7,233,"June 21, 1980",us,14,University of Arizona,/players/j/jefferi01.html
Dahntay Jones,Cleveland Cavaliers,CLE,30,SF,6-6,225,"December 27, 1980",us,11,Duke University,/players/j/jonesda02.html
James Jones,Cleveland Cavaliers,CLE,1,SF,6-8,218,"October 4, 1980",us,12,University of Miami,/players/j/jonesja02.html
Sasha Kaun,Cleveland Cavaliers,CLE,14,C,6-11,260,"May 8, 1985",ru,R,University of Kansas,/players/k/kaunsa01.html
Kevin Love,Cleveland Cavaliers,CLE,0,PF,6-10,251,"September 7, 1988",us,7,"University of California, Los Angeles",/players/l/loveke01.html
Jordan McRae,Cleveland Cavaliers,CLE,12,PG,6-6,185,"March 28, 1991",us,R,University of Tennessee,/players/m/mcraejo01.html
Timofey Mozgov,Cleveland Cavaliers,CLE,20,C,7-1,275,"July 16, 1986",ru,5,,/players/m/mozgoti01.html
Iman Shumpert,Cleveland Cavaliers,CLE,4,SG,6-5,220,"June 26, 1990",us,4,Georgia Institute of Technology,/players/s/shumpim01.html
J.R. Smith,Cleveland Cavaliers,CLE,5,SG,6-6,225,"September 9, 1985",us,11,,/players/s/smithjr01.html
Tristan Thompson,Cleveland Cavaliers,CLE,13,PF,6-9,238,"March 13, 1991",ca,4,University of Texas at Austin,/players/t/thomptr01.html
Anderson Varejao,Cleveland Cavaliers,CLE,17,C,6-10,273,"September 28, 1982",br,11,,/players/v/varejan01.html
Mo Williams,Cleveland Cavaliers,CLE,52,PG,6-1,198,"December 19, 1982",us,12,University of Alabama,/players/w/willima01.html
Justin Anderson,Dallas Mavericks,DAL,1,SF,6-6,228,"November 19, 1993",us,R,University of Virginia,/players/a/anderju01.html
J.J. Barea,Dallas Mavericks,DAL,5,PG,6-0,185,"June 26, 1984",pr,9,Northeastern University,/players/b/bareajo01.html
Jeremy Evans,Dallas Mavericks,DAL,21,SF,6-9,196,"October 24, 1987",us,5,Western Kentucky University,/players/e/evansje01.html
Raymond Felton,Dallas Mavericks,DAL,2,PG,6-1,205,"June 26, 1984",us,10,University of North Carolina,/players/f/feltora01.html
Devin Harris,Dallas Mavericks,DAL,34,PG,6-3,192,"February 27, 1983",us,11,University of Wisconsin,/players/h/harride01.html
John Jenkins,Dallas Mavericks,DAL,12,SG,6-4,215,"March 6, 1991",us,3,Vanderbilt University,/players/j/jenkijo01.html
David Lee,Dallas Mavericks,DAL,42,PF,6-9,245,"April 29, 1983",us,10,University of Florida,/players/l/leeda02.html
Wesley Matthews,Dallas Mavericks,DAL,23,SG,6-5,220,"October 14, 1986",us,6,Marquette University,/players/m/matthwe02.html
JaVale McGee,Dallas Mavericks,DAL,11,C,7-0,270,"January 19, 1988",us,7,"University of Nevada, Reno",/players/m/mcgeeja01.html
